device_id,device_mode_name,order_created_at,order_id,file_count,loc_1,loc_2,system_name,queue_duration_seconds,per_file_duration_avg_seconds,per_file_duration_max_seconds,per_file_duration_p95_seconds,device_duration_avg_seconds,device_duration_max_seconds,device_duration_p95_seconds,db_duration_avg_seconds,db_duration_max_seconds,db_duration_p95_seconds,inner_processing_duration_avg_seconds,inner_processing_duration_max_seconds,inner_processing_duration_p95_seconds,total_file_duration_minutes,total_duration_seconds
DEV-0017,TYP-041,2026-03-06 05:41:22.686412,ORD-000045,45,FAB-A,AREA-2,SYS-ALPHA,49,4,22,9,2,15,6,1,2,1,1,5,2,1,109
DEV-0145,MDL-016,2026-03-14 00:16:46.161330,ORD-000046,276,FAB-A,AREA-1,SYS-ALPHA,7,6,12,9,4,8,5,1,2,2,1,2,2,6,367
DEV-0088,,2026-03-19 06:56:55.939131,ORD-000047,122,FAB-B,AREA-1,SYS-ALPHA,41,6,22,14,3,13,8,1,6,4,2,3,2,3,221
DEV-0054,,2026-03-05 04:45:04.226940,ORD-000048,561,FAB-A,AREA-3,SYS-ALPHA,1,4,14,9,1,4,2,2,5,4,1,5,3,9,541
DEV-0090,,2026-03-13 13:14:28.880622,ORD-000049,7,FAB-C,AREA-3,SYS-GAMMA,17,5,21,9,1,10,3,2,6,2,2,5,4,1,77
DEV-0103,MDL-003,2026-03-08 13:27:19.586519,ORD-000050,25,FAB-B,AREA-2,SYS-BETA,5,6,24,16,3,18,9,2,4,5,1,2,2,1,65
DEV-0086,TYP-040,2026-03-25 21:52:47.258482,ORD-000051,15,FAB-C,AREA-1,SYS-ALPHA,24,8,22,13,4,14,8,3,4,3,1,4,2,1,84
DEV-0037,EQP-049,2026-03-24 02:24:19.344389,ORD-000052,16,FAB-A,AREA-1,SYS-GAMMA,23,6,27,11,4,18,6,1,6,2,1,3,3,1,83
DEV-0162,SER-025,2026-03-25 03:35:47.275582,ORD-000053,3323,FAB-B,AREA-1,SYS-BETA,12,4,20,8,2,11,4,1,4,2,1,5,2,55,3312
DEV-0018,SER-030,2026-03-26 22:42:52.183132,ORD-000054,165,FAB-B,AREA-3,SYS-GAMMA,11,4,13,11,1,8,6,2,3,2,1,2,3,2,131
DEV-0189,SER-033,2026-03-25 15:36:11.892132,ORD-000055,1460,FAB-C,AREA-3,SYS-ALPHA,2,20,38,29,17,28,25,2,7,3,1,3,1,121,7262
DEV-0021,,2026-03-06 02:26:11.035184,ORD-000056,94,FAB-B,,SYS-BETA,3,5,23,16,3,16,11,1,2,2,1,5,3,1,63
DEV-0153,MDL-032,2026-03-27 02:26:22.928587,ORD-000057,45,FAB-C,AREA-2,SYS-BETA,11,7,21,10,5,12,7,1,4,1,1,5,2,1,71
DEV-0038,TYP-020,2026-03-03 17:58:21.146864,ORD-000058,199,FAB-C,AREA-2,SYS-ALPHA,55,5,15,16,3,9,10,1,3,3,1,3,3,4,295
DEV-0179,TYP-009,2026-03-29 21:07:03.945146,ORD-000059,839,FAB-B,AREA-1,SYS-GAMMA,8,5,17,15,1,11,7,2,3,5,2,3,3,17,1028
DEV-0049,,2026-03-24 12:33:40.987076,ORD-000060,13,FAB-C,,SYS-ALPHA,2,5,14,9,2,8,4,1,3,1,2,3,4,1,62
DEV-0197,,2026-03-24 03:21:43.771413,ORD-000061,469,FAB-B,AREA-2,SYS-BETA,16,7,21,14,3,11,9,2,6,2,2,4,3,13,796
DEV-0061,TYP-004,2026-03-16 10:13:40.484684,ORD-000062,257,FAB-C,AREA-1,SYS-ALPHA,14,5,20,15,2,9,10,1,5,2,2,6,3,5,314
DEV-0064,SER-029,2026-03-09 16:28:51.248437,ORD-000063,35,FAB-A,,SYS-ALPHA,1,5,24,7,2,15,4,1,4,1,2,5,2,1,61
DEV-0111,,2026-03-08 15:40:45.131066,ORD-000064,19,FAB-C,AREA-2,SYS-BETA,1,3,10,13,1,3,8,1,5,3,1,2,2,1,61
DEV-0182,TYP-020,2026-03-19 21:49:24.829315,ORD-000065,449,FAB-A,AREA-1,SYS-BETA,7,8,18,18,5,11,13,1,3,1,2,4,4,14,847
DEV-0055,SER-033,2026-03-08 10:09:52.033735,ORD-000066,861,FAB-A,AREA-3,SYS-GAMMA,1,5,15,14,1,4,6,2,7,5,2,4,3,17,1021
DEV-0127,EQP-028,2026-03-18 08:47:45.602161,ORD-000067,54,FAB-A,AREA-3,SYS-GAMMA,16,5,26,10,2,15,5,62,250,3,1,4,2,1,319
DEV-0134,MDL-036,2026-03-12 14:47:09.269629,ORD-000068,2277,FAB-A,AREA-3,SYS-BETA,13,7,21,17,3,11,11,2,7,2,2,3,4,66,3973
DEV-0168,,2026-03-24 15:41:58.557332,ORD-000069,895,FAB-A,AREA-1,SYS-BETA,9,6,14,15,4,6,10,1,4,2,1,4,3,22,1329
DEV-0161,,2026-03-27 22:48:01.212080,ORD-000070,13,FAB-C,AREA-1,SYS-GAMMA,7,5,10,13,2,4,7,2,3,5,1,3,1,1,67
DEV-0121,SER-017,2026-03-12 15:02:00.486395,ORD-000071,46,FAB-A,AREA-1,SYS-GAMMA,27,4,16,8,2,9,3,1,3,3,1,4,2,1,87
DEV-0098,TYP-041,2026-03-14 10:51:17.884884,ORD-000072,97,FAB-B,AREA-3,SYS-ALPHA,17,6,18,16,3,10,8,2,6,5,1,2,3,2,137
DEV-0083,SER-017,2026-03-28 18:54:05.746175,ORD-000073,613,FAB-B,AREA-2,SYS-GAMMA,286,6,17,18,4,7,11,2,6,5,1,4,2,15,1175
DEV-0163,TYP-020,2026-03-21 16:32:51.302135,ORD-000074,2234,FAB-B,,SYS-GAMMA,24,18,30,24,15,25,18,1,2,4,2,3,2,167,10044
DEV-0092,,2026-03-03 18:17:18.264974,ORD-000075,195,FAB-C,AREA-3,SYS-GAMMA,6,7,23,17,5,17,13,1,2,2,1,4,2,5,306
DEV-0080,MDL-039,2026-03-18 06:38:15.374985,ORD-000076,555,FAB-A,AREA-1,SYS-BETA,21,6,24,11,3,16,6,2,3,2,1,5,3,13,801
DEV-0073,TYP-013,2026-03-14 21:40:36.558330,ORD-000077,802,FAB-B,AREA-2,SYS-ALPHA,7,4,14,6,2,6,4,1,3,1,1,5,1,13,787
DEV-0081,EQP-043,2026-03-05 02:50:05.585409,ORD-000078,366,FAB-C,AREA-3,SYS-BETA,44,6,19,12,3,9,6,2,7,4,1,3,2,9,584
DEV-0141,MDL-003,2026-03-23 00:45:43.686826,ORD-000079,169,FAB-A,,SYS-GAMMA,5,8,25,12,4,15,6,3,8,4,1,2,2,5,305
DEV-0104,TYP-009,2026-03-11 23:42:29.276172,ORD-000080,375,FAB-A,AREA-3,SYS-BETA,20,6,24,11,3,15,5,2,4,4,1,5,2,9,560
DEV-0033,,2026-03-29 06:25:15.572824,ORD-000081,283,FAB-C,AREA-3,SYS-GAMMA,1,4,18,7,1,11,4,1,2,1,2,5,2,4,241
DEV-0132,EQP-027,2026-03-17 08:37:03.458327,ORD-000082,1866,FAB-C,,SYS-GAMMA,32,4,12,13,2,7,7,1,2,3,1,3,3,31,1892
DEV-0168,,2026-03-24 13:21:53.901125,ORD-000083,919,FAB-A,AREA-1,SYS-BETA,14,4,23,5,2,17,3,1,4,1,1,2,1,15,914
DEV-0146,EQP-050,2026-03-25 12:19:43.749333,ORD-000084,213,FAB-B,AREA-2,SYS-ALPHA,25,5,21,14,3,15,8,1,2,4,1,4,2,4,265
DEV-0106,SER-044,2026-03-12 15:48:09.456727,ORD-000085,102,FAB-A,AREA-1,SYS-BETA,25,5,18,13,2,9,8,1,4,2,2,5,3,2,145
DEV-0119,,2026-03-14 08:16:38.497023,ORD-000086,33,FAB-C,AREA-3,SYS-ALPHA,1,8,16,11,5,8,6,2,4,3,1,4,2,1,61
DEV-0184,SER-046,2026-03-04 01:13:55.192395,ORD-000087,245,FAB-A,AREA-1,SYS-GAMMA,1,4,20,16,2,12,10,1,3,4,1,5,2,4,241
DEV-0061,TYP-004,2026-03-26 13:11:40.552099,ORD-000088,27,FAB-C,AREA-1,SYS-ALPHA,9,4,15,13,1,7,9,2,3,2,1,5,2,1,69
DEV-0093,MDL-007,2026-03-24 12:08:51.578697,ORD-000089,8,FAB-A,AREA-3,SYS-ALPHA,49,4,17,11,1,8,6,2,7,3,1,2,2,1,109
DEV-0174,SER-017,2026-03-16 15:29:34.004535,ORD-000090,431,FAB-A,,SYS-ALPHA,30,6,17,15,3,10,9,2,3,5,1,4,1,10,630
DEV-0121,SER-017,2026-03-23 14:36:51.062329,ORD-000091,88,FAB-A,AREA-1,SYS-GAMMA,52,8,22,16,6,13,12,1,6,2,1,3,2,2,172
DEV-0130,EQP-027,2026-03-30 14:05:16.068521,ORD-000092,231,FAB-B,,SYS-GAMMA,17,5,22,9,1,10,2,3,8,5,1,4,2,4,257
DEV-0006,SER-018,2026-03-19 21:28:07.796677,ORD-000093,117,FAB-A,AREA-2,SYS-BETA,1,10,28,21,7,18,15,2,7,3,1,3,3,4,241
DEV-0174,SER-017,2026-03-21 22:15:12.074211,ORD-000094,41,FAB-A,,SYS-ALPHA,14,4,10,14,2,4,10,1,2,2,1,4,2,1,74
DEV-0188,EQP-028,2026-03-30 06:58:12.301861,ORD-000095,441,FAB-C,AREA-3,SYS-ALPHA,13,3,22,12,1,11,7,1,6,2,1,5,3,5,313
DEV-0139,,2026-03-29 23:24:47.216274,ORD-000096,247,FAB-A,AREA-3,SYS-ALPHA,25,5,16,14,3,8,7,1,4,4,1,4,3,5,325
DEV-0125,MDL-003,2026-03-30 01:21:49.349467,ORD-000097,139,FAB-C,,SYS-ALPHA,40,5,20,10,2,8,4,2,7,4,1,5,2,2,160
DEV-0073,TYP-013,2026-03-17 19:33:33.125265,ORD-000098,1080,FAB-B,AREA-2,SYS-ALPHA,24,7,26,15,5,17,10,1,4,4,1,5,1,31,1884
DEV-0150,TYP-040,2026-03-22 20:05:20.179885,ORD-000099,8,FAB-C,,SYS-GAMMA,8,5,23,10,2,14,6,2,7,3,1,2,1,1,68
DEV-0001,EQP-028,2026-03-03 05:31:26.669936,ORD-000100,2646,FAB-A,AREA-1,SYS-ALPHA,30,6,22,14,3,12,7,2,6,5,1,4,2,66,3990
DEV-0009,SER-047,2026-03-30 01:54:04.386735,ORD-000101,1179,FAB-B,AREA-1,SYS-BETA,8,4,14,12,1,3,8,2,6,3,1,5,1,19,1148
DEV-0002,TYP-014,2026-03-15 11:49:57.982321,ORD-000102,43,FAB-A,AREA-1,SYS-GAMMA,16,6,17,16,4,10,12,1,2,3,1,5,1,1,76
DEV-0065,SER-018,2026-03-28 10:32:13.465401,ORD-000103,314,FAB-B,AREA-2,SYS-ALPHA,11,6,22,14,3,14,7,1,4,3,2,4,4,7,431
DEV-0022,TYP-005,2026-03-08 12:07:24.963605,ORD-000104,74,FAB-A,AREA-3,SYS-ALPHA,28,9,22,16,5,14,11,3,5,4,1,3,1,2,148
DEV-0002,TYP-014,2026-03-21 14:59:10.115104,ORD-000105,28,FAB-A,AREA-1,SYS-GAMMA,2,8,26,11,5,17,7,2,4,2,1,5,2,1,62
DEV-0197,,2026-03-15 06:09:40.923535,ORD-000106,80,FAB-B,AREA-2,SYS-BETA,3,4,20,10,1,12,5,2,5,4,1,3,1,1,63
DEV-0193,EQP-034,2026-03-03 18:31:40.906309,ORD-000107,220,FAB-C,AREA-3,SYS-GAMMA,35,5,23,10,3,15,5,1,3,2,1,5,3,4,275
DEV-0140,,2026-03-22 14:05:06.659253,ORD-000108,1207,FAB-A,AREA-2,SYS-ALPHA,22,4,17,11,1,5,7,2,7,3,1,5,1,20,1222
DEV-0033,,2026-03-25 23:12:08.559899,ORD-000109,166,FAB-C,AREA-3,SYS-GAMMA,134,4,22,14,3,12,10,1,6,1,1,4,3,2,167
DEV-0011,TYP-040,2026-03-24 13:24:43.927130,ORD-000110,229,FAB-B,AREA-2,SYS-GAMMA,5,6,11,15,4,7,12,1,2,1,1,2,2,5,305
DEV-0097,MDL-032,2026-03-17 02:20:53.723669,ORD-000111,284,FAB-B,AREA-1,SYS-ALPHA,3,6,16,12,4,7,7,1,5,4,1,4,1,7,423
DEV-0057,,2026-03-06 05:31:47.421457,ORD-000112,323,FAB-C,,SYS-ALPHA,9,22,37,32,20,30,27,1,4,4,1,3,1,29,1749
DEV-0169,MDL-038,2026-03-21 22:17:30.553966,ORD-000113,246,FAB-C,AREA-1,SYS-ALPHA,215,3,10,8,1,6,3,1,2,2,1,2,3,3,236
DEV-0011,TYP-040,2026-03-08 15:43:14.821583,ORD-000114,109,FAB-B,AREA-2,SYS-GAMMA,6,6,27,10,3,17,4,2,7,3,1,3,3,2,126
DEV-0082,TYP-014,2026-03-19 02:06:37.509813,ORD-000115,14,FAB-C,AREA-3,SYS-ALPHA,31,7,23,13,4,12,9,2,7,3,1,4,1,1,91
DEV-0173,MDL-022,2026-03-05 17:08:28.496577,ORD-000116,176,FAB-B,AREA-3,SYS-BETA,20,4,20,15,2,14,9,1,2,3,1,4,3,2,140
DEV-0076,MDL-031,2026-03-13 06:37:06.050261,ORD-000117,1147,FAB-C,AREA-2,SYS-ALPHA,14,4,22,13,2,12,9,1,5,1,1,5,3,19,1154
DEV-0020,EQP-021,2026-03-19 15:53:59.074916,ORD-000118,1867,FAB-A,AREA-2,SYS-ALPHA,20,8,22,13,3,13,7,2,5,2,3,4,4,62,3740
DEV-0171,TYP-012,2026-03-04 23:51:27.582658,ORD-000119,172,FAB-A,AREA-3,SYS-BETA,1,8,18,11,5,11,6,2,4,4,1,3,1,5,301
DEV-0062,EQP-026,2026-03-12 04:49:03.472278,ORD-000120,509,FAB-C,AREA-3,SYS-ALPHA,4,14,36,21,12,26,17,1,5,2,1,5,2,29,1744
DEV-0184,SER-046,2026-03-08 06:15:07.255618,ORD-000121,264,FAB-A,AREA-1,SYS-GAMMA,1,5,19,12,3,10,9,1,4,2,1,5,1,5,301
DEV-0149,TYP-009,2026-03-08 10:10:08.664177,ORD-000122,156,FAB-B,AREA-3,SYS-BETA,17,7,17,15,5,10,11,1,4,2,1,3,2,4,257
DEV-0125,MDL-003,2026-03-15 23:30:50.395268,ORD-000123,4628,FAB-C,,SYS-ALPHA,13,5,15,14,2,6,8,1,5,4,2,4,2,96,5773
DEV-0164,TYP-048,2026-03-20 10:24:53.655689,ORD-000124,1536,FAB-C,AREA-2,SYS-BETA,2,3,20,5,1,16,2,1,2,1,1,2,2,19,1142
DEV-0015,SER-024,2026-03-13 19:08:26.026936,ORD-000125,982,FAB-B,AREA-2,SYS-GAMMA,6,6,24,17,3,15,11,2,7,5,1,2,1,24,1446
DEV-0137,MDL-031,2026-03-08 13:38:17.607085,ORD-000126,2070,FAB-C,AREA-2,SYS-GAMMA,4,4,24,10,2,16,5,1,6,4,1,2,1,34,2044
DEV-0020,EQP-021,2026-03-03 18:57:40.087244,ORD-000127,153,FAB-A,AREA-2,SYS-ALPHA,2,3,23,10,1,14,5,1,5,2,1,4,3,1,62
DEV-0008,EQP-023,2026-03-14 12:22:54.924429,ORD-000128,29,FAB-B,AREA-3,SYS-ALPHA,60,3,11,7,1,3,2,1,5,4,1,3,1,1,120
DEV-0135,TYP-014,2026-03-28 05:01:16.646354,ORD-000129,1235,FAB-B,AREA-3,SYS-BETA,2,6,15,12,3,9,4,2,4,5,1,2,3,30,1802
DEV-0080,MDL-039,2026-03-08 18:03:22.360642,ORD-000130,18,FAB-A,AREA-1,SYS-BETA,12,5,25,14,3,17,10,1,6,2,1,2,2,1,72
DEV-0193,EQP-034,2026-03-11 12:35:19.609327,ORD-000131,380,FAB-C,AREA-3,SYS-GAMMA,5,6,17,10,3,5,5,2,7,4,1,5,1,9,545
DEV-0101,SER-046,2026-03-29 10:47:38.702533,ORD-000132,3336,FAB-B,AREA-1,SYS-ALPHA,4,4,23,14,1,15,9,2,3,4,1,5,1,55,3304
DEV-0158,TYP-014,2026-03-06 03:58:52.851836,ORD-000133,20,FAB-A,,SYS-BETA,2,9,20,14,7,13,10,1,2,1,1,5,3,1,62
DEV-0023,TYP-042,2026-03-14 03:55:10.611775,ORD-000134,24,FAB-B,,SYS-GAMMA,1,5,24,12,2,16,7,1,5,3,2,3,2,1,61
DEV-0141,MDL-003,2026-03-23 02:47:00.397590,ORD-000135,43,FAB-A,,SYS-GAMMA,4,6,15,15,4,6,9,1,4,4,1,5,2,1,64
DEV-0062,EQP-026,2026-03-06 10:37:46.671840,ORD-000136,93,FAB-C,AREA-3,SYS-ALPHA,13,12,25,19,10,16,15,1,5,2,1,4,2,4,253
DEV-0063,MDL-016,2026-03-26 19:41:16.070510,ORD-000137,807,FAB-A,AREA-2,SYS-GAMMA,26,5,21,9,3,12,5,73,296,2,1,3,2,16,1276
DEV-0112,TYP-011,2026-03-30 12:27:12.109879,ORD-000138,258,FAB-C,AREA-1,SYS-BETA,2,6,19,14,2,8,8,2,7,3,2,4,3,6,362
DEV-0147,,2026-03-07 10:12:28.853225,ORD-000139,633,FAB-C,,SYS-ALPHA,2,5,27,14,2,17,9,2,6,4,1,4,1,13,782
DEV-0196,,2026-03-05 13:22:30.821699,ORD-000140,293,FAB-A,AREA-1,SYS-BETA,2,5,19,12,2,11,7,2,6,3,1,2,2,6,362
DEV-0096,MDL-022,2026-03-25 22:20:56.948108,ORD-000141,43,FAB-A,AREA-3,SYS-GAMMA,6,6,21,17,2,12,9,3,7,6,1,2,2,1,66
DEV-0027,SER-015,2026-03-14 11:32:08.932592,ORD-000142,973,FAB-A,,SYS-ALPHA,25,3,22,6,1,13,2,1,4,2,1,5,2,12,745
DEV-0148,MDL-036,2026-03-15 22:06:39.390376,ORD-000143,526,FAB-A,AREA-1,SYS-BETA,20,3,17,14,1,9,9,1,5,3,1,3,2,6,380
DEV-0021,,2026-03-15 11:26:31.792810,ORD-000144,14,FAB-B,,SYS-BETA,34,4,16,16,1,8,9,2,5,4,1,3,3,1,94
DEV-0181,TYP-011,2026-03-18 08:23:39.767094,ORD-000145,26,FAB-C,AREA-1,SYS-ALPHA,1,6,22,13,3,16,7,2,3,3,1,3,3,1,61
DEV-0103,MDL-003,2026-03-01 14:37:47.616460,ORD-000146,490,FAB-B,AREA-2,SYS-BETA,6,5,15,14,2,4,6,2,6,5,1,5,3,10,606
DEV-0147,,2026-03-27 10:47:19.879407,ORD-000147,39,FAB-C,,SYS-ALPHA,33,6,19,12,2,9,6,3,5,5,1,5,1,1,93
DEV-0152,SER-017,2026-03-21 18:23:14.267890,ORD-000148,150,FAB-A,AREA-3,SYS-GAMMA,5,4,20,12,1,8,7,2,7,2,1,5,3,2,125
DEV-0080,MDL-039,2026-03-18 07:46:47.139137,ORD-000149,24,FAB-A,AREA-1,SYS-BETA,21,4,16,9,2,9,5,1,2,2,1,5,2,1,81
DEV-0137,MDL-031,2026-03-15 02:17:35.607085,ORD-000150,960,FAB-C,AREA-2,SYS-GAMMA,25,3,16,9,1,10,6,1,3,2,1,3,1,12,745
DEV-0098,TYP-041,2026-03-16 03:11:37.553837,ORD-000151,4070,FAB-B,AREA-3,SYS-ALPHA,3,7,27,20,4,16,12,2,6,5,1,5,3,118,7083
DEV-0194,,2026-03-24 10:01:48.938958,ORD-000152,7,FAB-C,,SYS-BETA,15,8,23,15,5,15,10,2,5,3,1,3,2,1,75
DEV-0139,,2026-03-26 08:32:53.005505,ORD-000153,675,FAB-A,AREA-3,SYS-ALPHA,3,5,26,14,3,17,11,1,6,1,1,3,2,14,843
DEV-0008,EQP-023,2026-03-18 22:13:02.189637,ORD-000154,139,FAB-B,AREA-3,SYS-ALPHA,7,5,23,10,2,17,4,2,3,5,1,3,1,2,127
