device_id,device_mode_name,order_created_at,order_id,file_count,loc_1,loc_2,system_name,queue_duration_seconds,per_file_duration_avg_seconds,per_file_duration_max_seconds,per_file_duration_p95_seconds,device_duration_avg_seconds,device_duration_max_seconds,device_duration_p95_seconds,db_duration_avg_seconds,db_duration_max_seconds,db_duration_p95_seconds,inner_processing_duration_avg_seconds,inner_processing_duration_max_seconds,inner_processing_duration_p95_seconds,total_file_duration_minutes,total_duration_seconds,_label,_is_slow_device
DEV-0111,ENGINEERING,2026/03/08 03:40:45 PM,ORD-000058,19,FAB-B,,SYS-ALPHA,5,5,12,15,3,5,10,1,5,3,1,2,2,1,65,normal,False
DEV-0182,STANDBY,2026/03/19 09:49:24 PM,ORD-000059,449,FAB-A,,SYS-GAMMA,11,3,13,13,1,7,9,1,3,1,1,3,3,5,311,normal,False
DEV-0055,PRODUCTION,2026/03/08 10:09:52 AM,ORD-000060,861,FAB-C,AREA-1,SYS-ALPHA,14,10,20,19,5,8,10,3,8,6,2,4,3,35,2114,normal,False
DEV-0127,ENGINEERING,2026/03/18 08:47:45 AM,ORD-000061,54,FAB-C,,SYS-BETA,55,4,25,9,1,14,4,62,250,3,1,4,2,1,358,db_lock,False
DEV-0134,,2026/03/12 02:47:09 PM,ORD-000062,2277,FAB-B,AREA-3,SYS-ALPHA,23,3,17,13,1,9,9,1,6,1,1,2,3,28,1703,normal,False
DEV-0168,,2026/03/24 03:41:58 PM,ORD-000063,895,FAB-B,AREA-1,SYS-BETA,2,5,13,14,2,4,8,2,5,3,1,4,3,18,1082,normal,False
DEV-0161,STANDBY,2026/03/27 10:48:01 PM,ORD-000064,13,FAB-B,AREA-2,SYS-GAMMA,11,7,12,15,4,6,9,2,3,5,1,3,1,1,71,normal,False
DEV-0121,ENGINEERING,2026/03/12 03:02:00 PM,ORD-000065,46,FAB-C,,SYS-GAMMA,14,4,16,8,1,8,2,2,4,4,1,4,2,1,74,normal,False
DEV-0098,ENGINEERING,2026/03/14 10:51:17 AM,ORD-000066,97,FAB-C,AREA-3,SYS-BETA,6,7,19,17,5,12,10,1,5,4,1,2,3,2,126,normal,False
DEV-0083,STANDBY,2026/03/28 06:54:05 PM,ORD-000067,613,FAB-A,AREA-1,SYS-GAMMA,291,4,15,16,3,6,10,1,5,4,1,4,2,10,791,user_burst,False
DEV-0163,PRODUCTION,2026/03/21 04:32:51 PM,ORD-000068,2234,FAB-B,,SYS-BETA,7,19,31,25,16,26,19,2,3,5,1,2,1,176,10567,normal,True
DEV-0092,PRODUCTION,2026/03/03 06:17:18 PM,ORD-000069,195,FAB-B,AREA-2,SYS-BETA,14,6,22,16,4,16,12,1,2,2,1,4,2,4,254,normal,False
DEV-0080,STANDBY,2026/03/18 06:38:15 AM,ORD-000070,555,FAB-A,,SYS-GAMMA,16,5,23,10,3,16,6,1,2,1,1,5,3,11,676,normal,False
DEV-0073,PRODUCTION,2026/03/14 09:40:36 PM,ORD-000071,802,FAB-B,AREA-3,SYS-BETA,12,8,18,10,5,9,7,2,4,2,1,5,1,26,1572,normal,False
DEV-0081,STANDBY,2026/03/05 02:50:05 AM,ORD-000072,366,FAB-C,AREA-1,SYS-GAMMA,9,6,19,12,3,9,6,2,7,4,1,3,2,9,549,normal,False
DEV-0141,,2026/03/23 12:45:43 AM,ORD-000073,169,FAB-B,AREA-3,SYS-GAMMA,35,5,22,9,3,14,5,1,6,2,1,2,2,3,215,normal,False
DEV-0104,PRODUCTION,2026/03/11 11:42:29 PM,ORD-000074,375,FAB-B,AREA-3,SYS-GAMMA,1,5,23,10,2,14,4,2,4,4,1,5,2,7,421,normal,False
DEV-0033,STANDBY,2026/03/29 06:25:15 AM,ORD-000075,283,FAB-B,AREA-2,SYS-BETA,17,6,20,9,4,14,7,1,2,1,1,4,1,7,437,normal,False
DEV-0132,,2026/03/17 08:37:03 AM,ORD-000076,1866,FAB-C,AREA-3,SYS-BETA,19,6,14,15,4,9,9,1,2,3,1,3,3,46,2779,normal,False
DEV-0168,,2026/03/24 01:21:53 PM,ORD-000077,919,FAB-B,AREA-1,SYS-BETA,24,4,23,5,2,17,3,1,4,1,1,2,1,15,924,normal,False
DEV-0146,ENGINEERING,2026/03/25 12:19:43 PM,ORD-000078,213,FAB-B,AREA-2,SYS-BETA,6,7,23,16,4,16,9,1,2,4,2,5,3,6,366,normal,False
DEV-0106,PRODUCTION,2026/03/12 03:48:09 PM,ORD-000079,102,FAB-B,AREA-2,SYS-GAMMA,21,6,19,14,4,11,10,1,4,2,1,4,2,2,141,normal,False
DEV-0119,STANDBY,2026/03/14 08:16:38 AM,ORD-000080,33,FAB-A,,SYS-GAMMA,5,6,14,9,4,7,5,1,3,2,1,4,2,1,65,normal,False
DEV-0184,STANDBY,2026/03/04 01:13:55 AM,ORD-000081,245,FAB-B,AREA-3,SYS-BETA,44,5,21,17,3,13,11,1,3,4,1,5,2,5,344,normal,False
DEV-0061,PRODUCTION,2026/03/26 01:11:40 PM,ORD-000082,27,FAB-A,AREA-2,SYS-ALPHA,14,5,16,14,2,8,10,1,2,1,2,6,3,1,74,normal,False
DEV-0093,ENGINEERING,2026/03/24 12:08:51 PM,ORD-000083,8,FAB-A,AREA-3,SYS-BETA,20,5,18,12,3,10,8,1,6,2,1,2,2,1,80,normal,False
DEV-0174,ENGINEERING,2026/03/16 03:29:34 PM,ORD-000084,431,FAB-B,,SYS-BETA,1,4,15,13,2,9,8,1,2,4,1,4,1,7,421,normal,False
DEV-0121,ENGINEERING,2026/03/23 02:36:51 PM,ORD-000085,88,FAB-C,,SYS-GAMMA,32,4,18,12,1,8,7,2,7,3,1,3,2,1,92,normal,False
DEV-0130,ENGINEERING,2026/03/30 02:05:16 PM,ORD-000086,231,FAB-C,,SYS-ALPHA,2,8,25,12,5,14,6,2,7,4,1,4,2,7,422,normal,False
DEV-0006,STANDBY,2026/03/19 09:28:07 PM,ORD-000087,117,FAB-A,AREA-2,SYS-BETA,25,10,28,21,7,18,15,2,7,3,1,3,3,4,265,normal,True
DEV-0174,ENGINEERING,2026/03/21 10:15:12 PM,ORD-000088,41,FAB-B,,SYS-BETA,1,5,11,15,2,4,10,2,3,3,1,4,2,1,61,normal,False
DEV-0188,ENGINEERING,2026/03/30 06:58:12 AM,ORD-000089,441,FAB-C,,SYS-BETA,1,7,26,16,3,13,9,2,7,3,2,6,4,12,721,normal,False
DEV-0139,ENGINEERING,2026/03/29 11:24:47 PM,ORD-000090,247,FAB-A,,SYS-GAMMA,8,4,15,13,2,7,6,1,4,4,1,4,3,4,248,normal,False
DEV-0125,PRODUCTION,2026/03/30 01:21:49 AM,ORD-000091,139,FAB-A,AREA-2,SYS-BETA,1,5,20,10,3,9,5,1,6,3,1,5,2,2,121,normal,False
DEV-0073,PRODUCTION,2026/03/17 07:33:33 PM,ORD-000092,1080,FAB-B,AREA-3,SYS-BETA,20,6,25,14,3,15,8,2,5,5,1,5,1,27,1640,normal,False
DEV-0150,PRODUCTION,2026/03/22 08:05:20 PM,ORD-000093,8,FAB-B,AREA-1,SYS-ALPHA,30,5,23,10,3,15,7,1,6,2,1,2,1,1,90,normal,False
DEV-0001,,2026/03/03 05:31:26 AM,ORD-000094,2646,FAB-A,AREA-1,SYS-ALPHA,1,7,23,15,3,12,7,2,6,5,2,5,3,77,4621,normal,False
DEV-0009,,2026/03/30 01:54:04 AM,ORD-000095,1179,FAB-C,AREA-1,SYS-BETA,17,9,19,17,6,8,13,2,6,3,1,5,1,44,2657,normal,False
DEV-0002,ENGINEERING,2026/03/15 11:49:57 AM,ORD-000096,43,FAB-A,AREA-1,SYS-GAMMA,13,6,17,16,4,10,12,1,2,3,1,5,1,1,73,normal,False
DEV-0065,STANDBY,2026/03/28 10:32:13 AM,ORD-000097,314,FAB-B,,SYS-ALPHA,3,4,20,12,1,12,5,2,5,4,1,3,3,5,303,normal,False
DEV-0022,STANDBY,2026/03/08 12:07:24 PM,ORD-000098,74,FAB-A,,SYS-BETA,13,5,18,12,3,12,9,1,3,2,1,3,1,1,73,normal,False
DEV-0002,ENGINEERING,2026/03/21 02:59:10 PM,ORD-000099,28,FAB-A,AREA-1,SYS-GAMMA,2,5,23,8,1,13,3,2,4,2,2,6,3,1,62,normal,False
DEV-0197,PRODUCTION,2026/03/15 06:09:40 AM,ORD-000100,80,FAB-B,,SYS-ALPHA,40,4,20,10,2,13,6,1,4,3,1,3,1,1,100,normal,False
DEV-0193,ENGINEERING,2026/03/03 06:31:40 PM,ORD-000101,220,FAB-C,,SYS-ALPHA,7,5,23,10,2,14,4,1,3,2,2,6,4,4,247,normal,False
DEV-0140,ENGINEERING,2026/03/22 02:05:06 PM,ORD-000102,1207,FAB-C,AREA-2,SYS-ALPHA,8,4,17,11,2,6,8,1,6,2,1,5,1,20,1208,normal,False
DEV-0033,STANDBY,2026/03/25 11:12:08 PM,ORD-000103,166,FAB-B,AREA-2,SYS-BETA,247,6,24,16,4,13,11,2,7,2,1,4,3,4,470,user_burst,False
DEV-0011,STANDBY,2026/03/24 01:24:43 PM,ORD-000104,229,FAB-C,AREA-2,SYS-GAMMA,21,3,8,12,1,4,9,1,2,1,1,2,2,2,141,normal,False
DEV-0097,ENGINEERING,2026/03/17 02:20:53 AM,ORD-000105,284,FAB-A,,SYS-ALPHA,16,5,15,11,1,4,4,2,6,5,2,5,2,5,316,normal,False
DEV-0057,ENGINEERING,2026/03/06 05:31:47 AM,ORD-000106,323,FAB-A,AREA-2,SYS-GAMMA,1,26,41,36,23,33,30,2,5,5,1,3,1,34,2041,normal,True
DEV-0169,STANDBY,2026/03/21 10:17:30 PM,ORD-000107,246,FAB-C,,SYS-GAMMA,241,10,17,15,9,11,8,2,3,3,2,3,4,10,816,user_burst,False
DEV-0011,STANDBY,2026/03/08 03:43:14 PM,ORD-000108,109,FAB-C,AREA-2,SYS-GAMMA,31,5,26,9,2,16,3,1,6,2,2,4,4,2,151,normal,False
DEV-0082,STANDBY,2026/03/19 02:06:37 AM,ORD-000109,14,FAB-C,AREA-1,SYS-ALPHA,3,7,23,13,4,12,9,2,7,3,1,4,1,1,63,normal,False
DEV-0173,ENGINEERING,2026/03/05 05:08:28 PM,ORD-000110,176,FAB-A,AREA-3,SYS-BETA,7,5,21,16,2,14,9,2,3,4,1,4,3,3,187,normal,False
DEV-0076,STANDBY,2026/03/13 06:37:06 AM,ORD-000111,1147,FAB-B,AREA-3,SYS-ALPHA,22,7,25,16,5,15,12,1,5,1,1,5,3,33,2002,normal,False
DEV-0020,ENGINEERING,2026/03/19 03:53:59 PM,ORD-000112,1867,FAB-A,AREA-3,SYS-BETA,29,6,20,11,4,14,8,1,4,1,1,2,2,46,2789,normal,False
DEV-0171,STANDBY,2026/03/04 11:51:27 PM,ORD-000113,172,FAB-C,,SYS-BETA,58,3,13,6,1,7,2,1,3,3,1,3,1,2,178,normal,False
DEV-0062,,2026/03/12 04:49:03 AM,ORD-000114,509,FAB-B,,SYS-ALPHA,15,16,38,23,14,28,19,1,5,2,1,5,2,33,1995,normal,True
DEV-0184,STANDBY,2026/03/08 06:15:07 AM,ORD-000115,264,FAB-B,AREA-3,SYS-BETA,6,5,19,12,2,9,8,2,5,3,1,5,1,5,306,normal,False
DEV-0149,ENGINEERING,2026/03/08 10:10:08 AM,ORD-000116,156,FAB-B,AREA-2,SYS-GAMMA,16,4,14,12,2,7,8,1,4,2,1,3,2,2,136,normal,False
DEV-0125,PRODUCTION,2026/03/15 11:30:50 PM,ORD-000117,4628,FAB-A,AREA-2,SYS-BETA,1,4,14,13,2,6,8,1,5,4,1,3,1,77,4621,normal,False
DEV-0164,ENGINEERING,2026/03/20 10:24:53 AM,ORD-000118,1536,FAB-A,AREA-2,SYS-ALPHA,3,4,21,6,1,16,2,2,3,2,1,2,2,25,1503,normal,False
DEV-0015,STANDBY,2026/03/13 07:08:26 PM,ORD-000119,982,FAB-B,AREA-2,SYS-GAMMA,24,4,22,15,1,13,9,2,7,5,1,2,1,16,984,normal,False
DEV-0137,STANDBY,2026/03/08 01:38:17 PM,ORD-000120,2070,FAB-A,AREA-3,SYS-BETA,31,5,25,11,2,16,5,2,7,5,1,2,1,43,2611,normal,False
DEV-0020,ENGINEERING,2026/03/03 06:57:40 PM,ORD-000121,153,FAB-A,AREA-3,SYS-BETA,3,5,25,12,2,15,6,2,6,3,1,4,3,3,183,normal,False
DEV-0008,STANDBY,2026/03/14 12:22:54 PM,ORD-000122,29,FAB-B,AREA-3,SYS-ALPHA,14,3,11,7,1,3,2,1,5,4,1,3,1,1,74,normal,False
DEV-0135,STANDBY,2026/03/28 05:01:16 AM,ORD-000123,1235,FAB-C,,SYS-GAMMA,33,10,19,16,7,13,8,1,3,4,2,3,4,51,3093,normal,False
DEV-0080,STANDBY,2026/03/08 06:03:22 PM,ORD-000124,18,FAB-A,,SYS-GAMMA,1,4,24,13,1,15,8,2,7,3,1,2,2,1,61,normal,False
DEV-0193,ENGINEERING,2026/03/11 12:35:19 PM,ORD-000125,380,FAB-C,,SYS-ALPHA,7,4,15,8,2,4,4,1,6,3,1,5,1,6,367,normal,False
DEV-0101,ENGINEERING,2026/03/29 10:47:38 AM,ORD-000126,3336,FAB-A,,SYS-BETA,1,8,27,18,4,18,12,2,3,4,2,6,2,111,6661,normal,False
DEV-0158,ENGINEERING,2026/03/06 03:58:52 AM,ORD-000127,20,FAB-A,AREA-1,SYS-GAMMA,10,6,17,11,3,9,6,2,3,2,1,5,3,1,70,normal,False
DEV-0023,,2026/03/14 03:55:10 AM,ORD-000128,24,FAB-A,AREA-3,SYS-ALPHA,13,7,26,14,5,19,10,1,5,3,1,2,1,1,73,normal,False
DEV-0141,,2026/03/23 02:47:00 AM,ORD-000129,43,FAB-B,AREA-3,SYS-GAMMA,6,7,16,16,4,6,9,1,4,4,2,6,3,1,66,normal,False
DEV-0062,,2026/03/06 10:37:46 AM,ORD-000130,93,FAB-B,,SYS-ALPHA,6,15,28,22,12,18,17,2,6,3,1,4,2,5,306,normal,True
DEV-0063,,2026/03/26 07:41:16 PM,ORD-000131,807,FAB-A,AREA-2,SYS-BETA,2,4,20,8,2,11,4,73,296,2,1,3,2,13,1072,db_lock,False
DEV-0112,STANDBY,2026/03/30 12:27:12 PM,ORD-000132,258,FAB-C,AREA-3,SYS-GAMMA,3,4,17,12,2,8,8,1,6,2,1,3,2,4,243,normal,False
DEV-0147,,2026/03/07 10:12:28 AM,ORD-000133,633,FAB-B,AREA-1,SYS-BETA,60,5,27,14,2,17,9,2,6,4,1,4,1,13,840,normal,False
DEV-0196,PRODUCTION,2026/03/05 01:22:30 PM,ORD-000134,293,FAB-B,,SYS-ALPHA,52,6,20,13,3,12,8,2,6,3,1,2,2,7,472,normal,False
DEV-0096,,2026/03/25 10:20:56 PM,ORD-000135,43,FAB-C,AREA-2,SYS-ALPHA,16,5,20,16,3,13,10,1,5,4,1,2,2,1,76,normal,False
DEV-0027,PRODUCTION,2026/03/14 11:32:08 AM,ORD-000136,973,FAB-A,AREA-2,SYS-GAMMA,12,4,23,7,1,13,2,2,5,3,1,5,2,16,972,normal,False
DEV-0148,STANDBY,2026/03/15 10:06:39 PM,ORD-000137,526,FAB-C,,SYS-GAMMA,8,3,17,14,1,9,9,1,5,3,1,3,2,6,368,normal,False
DEV-0021,STANDBY,2026/03/15 11:26:31 AM,ORD-000138,14,FAB-A,AREA-2,SYS-GAMMA,1,6,18,18,4,11,12,1,4,3,1,3,3,1,61,normal,False
DEV-0181,,2026/03/18 08:23:39 AM,ORD-000139,26,FAB-B,AREA-1,SYS-ALPHA,9,5,21,12,2,15,6,2,3,3,1,3,3,1,69,normal,False
DEV-0103,ENGINEERING,2026/03/01 02:37:47 PM,ORD-000140,490,FAB-B,AREA-3,SYS-BETA,6,7,17,16,4,6,8,1,5,4,2,6,4,14,846,normal,False
DEV-0147,,2026/03/27 10:47:19 AM,ORD-000141,39,FAB-B,AREA-1,SYS-BETA,13,4,17,10,1,8,5,2,4,4,1,5,1,1,73,normal,False
DEV-0152,PRODUCTION,2026/03/21 06:23:14 PM,ORD-000142,150,FAB-B,,SYS-BETA,6,6,22,14,3,10,9,2,7,2,1,5,3,3,186,normal,False
DEV-0080,STANDBY,2026/03/18 07:46:47 AM,ORD-000143,24,FAB-A,,SYS-GAMMA,27,6,18,11,3,10,6,2,3,3,1,5,2,1,87,normal,False
DEV-0137,STANDBY,2026/03/15 02:17:35 AM,ORD-000144,960,FAB-A,AREA-3,SYS-BETA,3,4,17,10,2,11,7,1,3,2,1,3,1,16,963,normal,False
