device_id,device_mode_name,order_created_at,order_id,file_count,loc_1,loc_2,system_name,queue_duration_seconds,per_file_duration_avg_seconds,per_file_duration_max_seconds,per_file_duration_p95_seconds,device_duration_avg_seconds,device_duration_max_seconds,device_duration_p95_seconds,db_duration_avg_seconds,db_duration_max_seconds,db_duration_p95_seconds,inner_processing_duration_avg_seconds,inner_processing_duration_max_seconds,inner_processing_duration_p95_seconds,total_file_duration_minutes,total_duration_seconds,_label,_is_slow_device
DEV-1022,MDL-032,2026-03-30 15:46:38.535014,ORD-000011,769,FAB-C,AREA-3,SYS-ALPHA,6,5,13,13,2,4,8,2,5,3,1,4,2,16,966,normal,False
DEV-1365,,2026-03-17 22:05:33.780097,ORD-000012,41,FAB-B,AREA-1,SYS-ALPHA,5,8,29,12,5,18,7,2,6,4,1,5,1,1,65,normal,False
DEV-0189,,2026-03-27 02:05:05.566396,ORD-000013,205,FAB-C,,SYS-BETA,1,7,25,13,4,18,9,2,4,3,1,3,1,5,301,normal,False
DEV-1998,EQP-023,2026-03-26 22:23:27.641666,ORD-000014,99,FAB-B,AREA-2,SYS-GAMMA,12,7,25,11,5,16,6,1,5,3,1,4,2,2,132,normal,False
DEV-0912,TYP-009,2026-03-23 09:53:35.196643,ORD-000015,1089,FAB-B,,SYS-BETA,1,5,24,16,1,14,8,2,4,5,2,6,3,22,1321,normal,False
DEV-0848,EQP-050,2026-03-17 00:03:23.167056,ORD-000016,42,FAB-C,AREA-3,SYS-GAMMA,10,6,18,11,3,7,7,1,6,1,2,5,3,1,70,normal,False
DEV-0013,SER-030,2026-03-13 05:25:29.498955,ORD-000017,284,FAB-B,AREA-3,SYS-GAMMA,3,13,28,24,11,21,19,1,4,4,1,3,1,15,903,normal,True
DEV-1692,EQP-049,2026-03-05 23:45:42.754308,ORD-000018,199,FAB-C,AREA-1,SYS-ALPHA,2,6,21,17,3,13,11,2,5,5,1,3,1,4,242,normal,False
DEV-1363,MDL-008,2026-03-16 11:25:00.867570,ORD-000019,1427,FAB-B,,SYS-BETA,33,8,24,15,5,18,9,2,4,5,1,2,1,47,2853,normal,False
DEV-0740,,2026-03-18 17:35:51.717412,ORD-000020,194,FAB-C,AREA-1,SYS-ALPHA,33,4,21,15,2,14,10,1,5,3,1,2,2,3,213,normal,False
DEV-1798,SER-045,2026-03-12 00:38:13.980239,ORD-000021,665,FAB-C,AREA-3,SYS-BETA,25,3,15,11,1,7,7,1,3,1,1,5,3,8,505,normal,False
DEV-1917,TYP-042,2026-03-21 21:56:50.632560,ORD-000022,17,FAB-A,AREA-3,SYS-GAMMA,3,3,19,7,1,12,4,1,3,1,1,4,2,1,63,normal,False
DEV-1187,TYP-001,2026-03-29 06:59:35.094797,ORD-000023,86,FAB-A,AREA-2,SYS-BETA,10,5,19,12,1,11,6,2,3,3,2,5,3,1,70,normal,False
DEV-1030,MDL-022,2026-03-28 23:48:11.999790,ORD-000024,17,FAB-C,AREA-1,SYS-ALPHA,53,4,18,12,2,10,10,1,6,1,1,2,1,1,113,normal,False
DEV-1822,SER-046,2026-03-08 03:24:01.531875,ORD-000025,4142,FAB-B,AREA-1,SYS-GAMMA,1,7,24,15,3,16,8,3,6,4,1,2,3,120,7201,normal,False
DEV-0464,SER-037,2026-03-24 05:55:30.092931,ORD-000026,103,FAB-B,,SYS-BETA,4,4,15,6,1,9,3,1,3,1,2,3,2,1,64,normal,False
DEV-0121,EQP-034,2026-03-29 01:11:43.458550,ORD-000027,282,FAB-C,AREA-2,SYS-BETA,4,5,12,10,1,4,6,2,5,2,2,3,2,5,304,normal,False
DEV-0378,MDL-008,2026-03-16 10:37:43.738531,ORD-000028,329,FAB-B,AREA-3,SYS-GAMMA,15,9,28,16,6,21,11,2,3,3,1,4,2,12,735,normal,False
DEV-1184,,2026-03-07 17:39:27.629005,ORD-000029,841,FAB-A,AREA-3,SYS-BETA,1,7,16,13,5,11,8,1,3,2,1,2,3,24,1441,normal,False
DEV-0750,MDL-038,2026-03-08 14:44:11.528494,ORD-000030,489,FAB-A,,SYS-ALPHA,1,5,17,12,3,7,9,1,5,1,1,5,2,10,601,normal,False
DEV-0278,MDL-003,2026-03-15 11:16:24.985519,ORD-000031,142,FAB-A,AREA-3,SYS-ALPHA,17,6,16,12,3,6,9,2,5,2,1,5,1,3,197,normal,False
DEV-1722,EQP-043,2026-03-25 15:19:46.025375,ORD-000032,191,FAB-C,AREA-3,SYS-BETA,2,4,25,13,2,17,9,1,5,3,1,3,1,3,182,normal,False
DEV-1376,SER-047,2026-03-30 17:10:39.160695,ORD-000033,33,FAB-C,AREA-3,SYS-BETA,25,8,20,12,5,8,8,1,6,1,2,6,3,1,85,normal,False
DEV-0345,,2026-03-23 03:36:13.009542,ORD-000034,17,FAB-B,AREA-2,SYS-ALPHA,4,7,22,15,4,15,11,2,5,3,1,2,1,1,64,normal,False
DEV-1616,TYP-004,2026-03-24 17:17:42.634452,ORD-000035,709,FAB-C,,SYS-BETA,19,6,25,18,3,15,10,1,4,4,2,6,4,17,1039,normal,False
DEV-1018,,2026-03-30 09:35:26.350515,ORD-000036,13,FAB-B,AREA-1,SYS-BETA,1,5,20,7,1,14,2,2,3,2,2,3,3,1,61,normal,False
DEV-0197,TYP-001,2026-03-16 07:18:12.201804,ORD-000037,976,FAB-C,AREA-2,SYS-ALPHA,15,7,28,19,4,18,12,2,7,5,1,3,2,28,1695,normal,False
DEV-1760,SER-025,2026-03-14 19:44:42.044649,ORD-000038,54,FAB-C,AREA-2,SYS-GAMMA,4,4,12,15,1,4,8,2,3,5,1,5,2,1,64,normal,False
DEV-1811,,2026-03-16 04:19:15.127417,ORD-000039,803,FAB-C,,SYS-ALPHA,16,4,18,12,1,7,8,2,6,3,1,5,1,13,796,normal,False
DEV-0962,MDL-038,2026-03-19 15:52:33.306913,ORD-000040,268,FAB-C,AREA-1,SYS-BETA,6,3,17,10,1,9,6,1,3,1,1,5,3,3,186,normal,False
DEV-0092,MDL-032,2026-03-31 13:25:44.263893,ORD-000041,28,FAB-B,AREA-1,SYS-ALPHA,33,7,28,13,4,18,10,2,5,2,1,5,1,1,93,normal,False
DEV-0500,SER-019,2026-03-01 23:01:08.476242,ORD-000042,46,FAB-A,AREA-1,SYS-ALPHA,10,9,28,11,7,20,9,1,4,1,1,4,1,1,70,normal,False
DEV-1846,SER-006,2026-03-25 20:03:14.717058,ORD-000043,55,FAB-A,AREA-3,SYS-BETA,4,5,20,13,3,10,10,1,5,1,1,5,2,1,64,normal,False
DEV-0688,TYP-009,2026-03-20 13:56:08.957518,ORD-000044,257,FAB-C,AREA-3,SYS-ALPHA,2,6,23,13,4,15,9,1,4,2,1,4,2,6,362,normal,False
DEV-0543,EQP-027,2026-03-03 10:59:12.999607,ORD-000045,41,FAB-B,AREA-1,SYS-ALPHA,49,4,20,9,2,13,4,1,5,2,1,2,3,1,109,normal,False
DEV-0429,MDL-038,2026-03-19 21:39:15.009198,ORD-000046,69,FAB-A,AREA-3,SYS-GAMMA,7,6,19,15,4,12,10,1,4,3,1,3,2,1,67,normal,False
DEV-1440,TYP-048,2026-03-19 23:07:39.927714,ORD-000047,97,FAB-C,AREA-2,SYS-BETA,41,6,19,19,3,8,11,1,6,4,2,5,4,2,161,normal,False
DEV-1159,TYP-011,2026-03-21 22:25:28.538009,ORD-000048,361,FAB-B,AREA-1,SYS-ALPHA,1,4,18,13,1,8,9,2,7,3,1,3,1,6,361,normal,False
DEV-0131,SER-029,2026-03-13 18:24:19.801860,ORD-000049,722,FAB-B,AREA-2,SYS-GAMMA,17,5,23,12,1,13,4,2,5,4,2,5,4,15,917,normal,False
DEV-0502,SER-033,2026-03-07 12:05:20.796658,ORD-000050,617,FAB-B,,SYS-BETA,5,6,24,18,3,13,10,2,6,5,1,5,3,15,905,normal,False
DEV-1127,SER-047,2026-03-03 09:42:42.470927,ORD-000051,7,FAB-C,AREA-2,SYS-GAMMA,24,8,17,12,4,6,6,3,7,3,1,4,3,1,84,normal,False
DEV-1375,EQP-043,2026-03-18 21:10:02.941580,ORD-000052,392,FAB-C,AREA-3,SYS-ALPHA,23,6,16,11,4,9,6,1,5,2,1,2,3,9,563,normal,False
DEV-1228,,2026-03-06 12:15:59.033354,ORD-000053,25,FAB-A,AREA-3,SYS-ALPHA,12,4,25,11,2,16,6,1,4,4,1,5,1,1,72,normal,False
DEV-0520,TYP-009,2026-03-22 06:31:29.877758,ORD-000054,1057,FAB-A,AREA-2,SYS-GAMMA,11,4,24,10,1,14,3,2,6,4,1,4,3,17,1031,normal,False
DEV-1465,SER-018,2026-03-10 15:45:29.185476,ORD-000055,128,FAB-A,,SYS-BETA,2,8,26,10,5,20,6,2,3,2,1,3,2,4,242,normal,False
DEV-1663,MDL-016,2026-03-29 13:09:17.954061,ORD-000056,847,FAB-C,AREA-2,SYS-BETA,3,5,19,10,3,11,4,1,3,4,1,5,2,17,1023,normal,False
DEV-0898,TYP-042,2026-03-29 02:03:35.122533,ORD-000057,959,FAB-A,,SYS-BETA,11,7,21,10,5,11,7,1,5,1,1,5,2,27,1631,normal,False
DEV-1881,TYP-042,2026-03-24 05:28:07.336534,ORD-000058,464,FAB-C,,SYS-BETA,55,5,18,13,3,10,10,1,4,1,1,4,2,9,595,normal,False
DEV-0006,TYP-040,2026-03-22 18:33:59.729799,ORD-000059,210,FAB-B,AREA-2,SYS-GAMMA,8,5,20,9,1,12,3,2,5,4,2,3,2,4,248,normal,False
DEV-0266,EQP-010,2026-03-26 06:30:21.898559,ORD-000060,720,FAB-B,AREA-2,SYS-GAMMA,2,5,20,11,2,11,5,1,4,4,2,5,2,15,902,normal,False
DEV-1794,SER-030,2026-03-07 06:55:17.161002,ORD-000061,263,FAB-A,,SYS-BETA,16,7,16,9,3,5,4,2,7,3,2,4,2,7,436,normal,False
DEV-0821,MDL-038,2026-03-22 15:35:27.198062,ORD-000062,914,FAB-B,,SYS-ALPHA,14,5,13,14,2,5,8,1,4,2,2,4,4,19,1154,normal,False
DEV-0242,TYP-048,2026-03-07 18:32:51.686945,ORD-000063,18,FAB-B,AREA-3,SYS-ALPHA,1,5,17,15,2,8,10,1,3,3,2,6,2,1,61,normal,False
DEV-1488,SER-047,2026-03-08 09:15:47.916639,ORD-000064,728,FAB-A,AREA-3,SYS-GAMMA,1,3,20,10,1,15,4,1,3,4,1,2,2,9,541,normal,False
DEV-0175,TYP-014,2026-03-19 08:58:46.895656,ORD-000065,13,FAB-B,AREA-3,SYS-BETA,7,8,27,17,5,17,9,1,4,4,2,6,4,1,67,normal,False
DEV-0106,,2026-03-13 02:19:45.821142,ORD-000066,110,FAB-C,AREA-2,SYS-BETA,1,5,21,9,1,12,2,2,6,4,2,3,3,2,121,normal,False
DEV-0084,SER-024,2026-03-17 07:12:32.653546,ORD-000067,116,FAB-B,AREA-2,SYS-BETA,16,5,16,16,2,9,10,2,4,5,1,3,1,2,136,normal,False
DEV-0090,SER-019,2026-03-29 01:09:29.810680,ORD-000068,4044,FAB-C,AREA-2,SYS-GAMMA,13,7,21,16,3,11,8,2,5,4,2,5,4,117,7033,normal,False
DEV-1006,SER-037,2026-03-02 11:38:14.286756,ORD-000069,454,FAB-B,AREA-3,SYS-ALPHA,9,6,15,13,4,6,8,1,6,4,1,3,1,11,669,normal,False
DEV-0893,TYP-005,2026-03-23 02:39:21.116160,ORD-000070,36,FAB-A,,SYS-ALPHA,7,5,17,17,2,9,10,2,3,5,1,5,2,1,67,normal,False
DEV-1709,,2026-03-08 22:42:27.928775,ORD-000071,37,FAB-A,AREA-2,SYS-GAMMA,27,4,20,7,2,13,3,1,4,2,1,3,2,1,87,normal,False
DEV-0673,,2026-03-26 06:41:58.921122,ORD-000072,48,FAB-B,,SYS-BETA,194,6,17,11,4,10,5,2,3,5,1,4,1,1,100,user_burst,False
DEV-0011,SER-018,2026-03-09 18:49:42.594000,ORD-000073,61,FAB-C,AREA-1,SYS-GAMMA,4,6,20,12,3,10,6,2,7,5,1,3,1,1,64,normal,False
DEV-1120,SER-017,2026-03-27 03:36:15.332773,ORD-000074,1390,FAB-C,AREA-3,SYS-ALPHA,24,6,15,13,3,9,6,1,2,4,2,4,3,34,2064,normal,False
DEV-1339,SER-015,2026-03-26 15:32:21.925845,ORD-000075,24,FAB-C,AREA-3,SYS-ALPHA,6,7,26,16,5,18,10,1,5,4,1,3,2,1,66,normal,False
DEV-1813,MDL-036,2026-03-20 13:05:01.090489,ORD-000076,118,FAB-A,,SYS-ALPHA,21,6,17,18,3,6,10,2,7,5,1,4,3,2,141,normal,False
DEV-1326,EQP-028,2026-03-15 20:40:40.265622,ORD-000077,458,FAB-A,AREA-1,SYS-BETA,7,4,18,12,2,8,10,1,5,1,1,5,1,7,427,normal,False
DEV-1849,TYP-041,2026-03-16 14:34:57.857349,ORD-000078,113,FAB-C,AREA-3,SYS-GAMMA,44,6,18,10,3,9,4,2,7,5,1,2,1,2,164,normal,False
DEV-0727,EQP-027,2026-03-02 21:20:17.555575,ORD-000079,10,FAB-A,AREA-2,SYS-ALPHA,5,8,18,16,4,7,12,3,8,3,1,3,1,1,65,normal,False
DEV-0642,SER-033,2026-03-30 21:15:28.856274,ORD-000080,166,FAB-B,AREA-1,SYS-BETA,20,6,19,11,3,10,6,2,6,4,1,3,1,4,260,normal,False
DEV-0808,EQP-027,2026-03-30 21:34:10.453265,ORD-000081,15,FAB-A,AREA-1,SYS-GAMMA,1,4,25,15,1,14,8,1,5,4,2,6,3,1,61,normal,False
DEV-1413,MDL-039,2026-03-22 07:58:47.604847,ORD-000082,609,FAB-A,AREA-2,SYS-GAMMA,32,4,11,6,2,6,3,1,2,2,1,3,1,10,632,normal,False
DEV-0495,TYP-048,2026-03-02 02:44:24.039475,ORD-000083,210,FAB-B,AREA-2,SYS-ALPHA,14,4,16,10,2,5,7,1,6,2,1,5,1,3,194,normal,False
DEV-1438,MDL-036,2026-03-26 04:31:06.174542,ORD-000084,174,FAB-A,,SYS-BETA,25,5,26,13,3,18,11,1,5,1,1,3,1,3,205,normal,False
DEV-0884,SER-024,2026-03-23 06:56:25.527351,ORD-000085,4030,FAB-B,AREA-1,SYS-BETA,25,5,16,16,2,4,10,1,6,3,2,6,3,83,5005,normal,False
DEV-1776,EQP-050,2026-03-13 18:40:29.520273,ORD-000086,232,FAB-C,AREA-3,SYS-ALPHA,1,8,18,15,5,13,11,2,3,2,1,2,2,7,421,normal,False
DEV-1428,SER-019,2026-03-19 02:35:38.391270,ORD-000087,91,FAB-B,AREA-1,SYS-GAMMA,1,4,20,11,2,11,8,1,4,2,1,5,1,1,61,normal,False
DEV-1747,,2026-03-11 19:04:08.339072,ORD-000088,972,FAB-A,AREA-3,SYS-BETA,9,4,18,14,1,7,8,2,6,3,1,5,3,16,969,normal,False
DEV-1414,MDL-032,2026-03-25 08:05:58.848437,ORD-000089,983,FAB-B,AREA-1,SYS-ALPHA,49,4,14,11,1,5,5,2,6,3,1,3,3,16,1009,normal,False
DEV-0480,SER-017,2026-03-28 07:52:19.183247,ORD-000090,8,FAB-A,AREA-2,SYS-GAMMA,30,6,15,14,3,9,9,2,3,4,1,3,1,1,90,normal,False
DEV-0247,,2026-03-05 23:50:11.908043,ORD-000091,174,FAB-B,AREA-1,SYS-BETA,52,8,26,18,6,20,12,1,4,3,1,2,3,5,352,normal,False
DEV-1371,SER-047,2026-03-27 08:40:26.876141,ORD-000092,8,FAB-C,AREA-3,SYS-ALPHA,17,5,25,12,1,16,3,3,7,6,1,2,3,1,77,normal,False
DEV-0241,SER-006,2026-03-27 15:59:12.449449,ORD-000093,1932,FAB-C,AREA-1,SYS-BETA,1,5,25,13,2,15,7,2,5,3,1,5,3,40,2401,normal,False
DEV-1677,SER-006,2026-03-16 17:41:52.276928,ORD-000094,17,FAB-C,,SYS-ALPHA,14,4,24,9,2,16,3,1,5,4,1,3,2,1,74,normal,False
DEV-1361,MDL-039,2026-03-30 01:49:23.247315,ORD-000095,38,FAB-C,AREA-1,SYS-GAMMA,13,3,15,12,1,5,8,1,5,2,1,5,2,1,73,normal,False
DEV-1932,MDL-038,2026-03-06 15:14:14.214202,ORD-000096,14,FAB-A,AREA-1,SYS-ALPHA,25,5,12,12,3,6,9,1,2,1,1,4,2,1,85,normal,False
DEV-1848,MDL-031,2026-03-28 19:12:04.863845,ORD-000097,300,FAB-C,AREA-1,SYS-GAMMA,40,5,21,16,2,10,9,2,7,4,1,4,3,6,400,normal,False
DEV-1080,,2026-03-25 15:17:37.770655,ORD-000098,450,FAB-B,,SYS-BETA,24,7,27,16,5,17,9,1,5,4,1,5,3,13,804,normal,False
DEV-1100,,2026-03-20 06:10:15.500731,ORD-000099,235,FAB-B,,SYS-GAMMA,8,5,15,11,2,7,4,2,4,4,1,4,3,4,248,normal,False
DEV-1105,SER-002,2026-03-16 21:08:17.856923,ORD-000100,111,FAB-B,AREA-1,SYS-ALPHA,30,6,20,12,3,13,5,2,5,5,1,2,2,2,150,normal,False
DEV-1172,,2026-03-25 04:29:35.995039,ORD-000101,764,FAB-A,AREA-1,SYS-BETA,8,4,24,10,1,15,5,2,5,3,1,4,2,12,728,normal,False
DEV-1462,,2026-03-22 19:14:26.524588,ORD-000102,238,FAB-B,AREA-3,SYS-BETA,16,6,18,11,4,11,8,1,3,1,1,4,2,5,316,normal,False
DEV-0975,SER-046,2026-03-14 01:51:44.408608,ORD-000103,9,FAB-A,AREA-3,SYS-BETA,11,6,23,18,3,14,10,1,4,4,2,5,4,1,71,normal,False
DEV-1002,,2026-03-30 06:47:32.608582,ORD-000104,726,FAB-B,AREA-3,SYS-GAMMA,28,9,25,15,5,15,8,3,5,4,1,5,3,27,1648,normal,False
DEV-0066,TYP-001,2026-03-10 02:37:25.283948,ORD-000105,872,FAB-B,AREA-3,SYS-BETA,2,8,23,15,5,16,12,2,5,2,1,2,1,29,1742,normal,False
DEV-0624,MDL-022,2026-03-29 11:35:48.359082,ORD-000106,3242,FAB-C,,SYS-ALPHA,3,4,11,12,1,3,4,2,5,5,1,3,3,54,3243,normal,False
DEV-0004,SER-047,2026-03-11 16:41:44.885636,ORD-000107,27,FAB-B,AREA-1,SYS-BETA,35,5,17,15,3,11,11,1,2,1,1,4,3,1,95,normal,False
DEV-1707,MDL-036,2026-03-11 06:23:21.848355,ORD-000108,441,FAB-B,AREA-1,SYS-ALPHA,22,4,27,15,1,15,9,2,7,5,1,5,1,7,442,normal,False
DEV-0809,EQP-010,2026-03-25 02:19:35.507152,ORD-000109,61,FAB-B,AREA-3,SYS-BETA,230,4,22,10,3,14,4,1,5,3,1,3,3,1,89,user_burst,False
DEV-0253,MDL-008,2026-03-05 02:57:15.330455,ORD-000110,387,FAB-B,AREA-1,SYS-GAMMA,5,6,23,12,4,15,8,1,3,1,1,5,3,9,545,normal,False
DEV-0502,SER-033,2026-03-29 09:43:52.502228,ORD-000111,893,FAB-B,,SYS-BETA,283,6,28,14,6,18,10,1,5,1,1,5,3,22,1719,user_burst,False
DEV-0049,,2026-03-05 17:57:27.930993,ORD-000112,1324,FAB-A,AREA-3,SYS-ALPHA,9,5,13,11,3,6,5,1,5,3,1,2,3,27,1629,normal,False
DEV-0346,,2026-03-05 19:12:04.717734,ORD-000113,25,FAB-C,AREA-2,SYS-ALPHA,2,3,21,5,1,14,2,1,3,1,1,4,2,1,62,normal,False
DEV-1928,MDL-022,2026-03-13 00:46:02.651023,ORD-000114,423,FAB-A,AREA-3,SYS-GAMMA,6,6,16,13,3,8,7,2,3,3,1,5,3,10,606,normal,False
DEV-0991,TYP-040,2026-03-05 05:55:23.457606,ORD-000115,45,FAB-C,AREA-2,SYS-GAMMA,31,7,17,11,4,10,6,2,4,2,1,3,3,1,91,normal,False
DEV-1733,TYP-014,2026-03-30 05:54:10.288298,ORD-000116,508,FAB-C,AREA-1,SYS-ALPHA,20,4,18,11,2,12,5,1,3,3,1,3,3,8,500,normal,False
DEV-1271,SER-030,2026-03-11 23:15:57.215584,ORD-000117,15,FAB-C,AREA-2,SYS-ALPHA,14,4,17,11,2,11,7,1,2,1,1,4,3,1,74,normal,False
DEV-1045,TYP-040,2026-03-05 11:57:12.914383,ORD-000118,15,FAB-B,AREA-1,SYS-BETA,20,8,23,12,3,9,5,2,7,2,3,7,5,1,80,normal,False
DEV-1960,SER-024,2026-03-11 00:40:51.118336,ORD-000119,998,FAB-C,AREA-2,SYS-BETA,1,8,28,18,5,19,13,2,5,4,1,4,1,33,1981,normal,False
DEV-0672,SER-047,2026-03-14 01:10:56.048455,ORD-000120,49,FAB-C,,SYS-BETA,4,3,17,11,1,12,9,1,3,1,1,2,1,1,64,normal,False
DEV-1612,EQP-050,2026-03-12 13:47:07.244683,ORD-000121,1666,FAB-C,,SYS-ALPHA,1,5,22,14,3,18,11,1,2,1,1,2,2,34,2041,normal,False
DEV-1718,MDL-039,2026-03-01 22:50:54.725329,ORD-000122,308,FAB-A,AREA-2,SYS-GAMMA,17,7,19,14,5,12,9,1,2,4,1,5,1,8,497,normal,False
DEV-1256,,2026-03-23 00:04:43.549703,ORD-000123,526,FAB-C,AREA-2,SYS-GAMMA,13,5,17,10,2,9,3,1,3,4,2,5,3,10,613,normal,False
DEV-1681,TYP-013,2026-03-24 02:27:22.794594,ORD-000124,413,FAB-A,AREA-1,SYS-BETA,2,3,12,10,1,5,5,1,4,4,1,3,1,5,302,normal,False
DEV-1492,EQP-050,2026-03-29 23:46:02.796035,ORD-000125,496,FAB-B,AREA-1,SYS-ALPHA,6,6,20,17,3,15,11,2,3,4,1,2,2,12,726,normal,False
DEV-0885,EQP-043,2026-03-02 17:59:55.320152,ORD-000126,716,FAB-C,AREA-2,SYS-ALPHA,4,4,23,13,2,14,10,1,4,1,1,5,2,11,664,normal,False
DEV-0647,MDL-038,2026-03-03 14:37:45.594219,ORD-000127,17,FAB-C,AREA-1,SYS-BETA,2,3,19,6,1,12,2,1,4,1,1,3,3,1,62,normal,False
DEV-0636,,2026-03-29 13:21:23.257077,ORD-000128,45,FAB-C,,SYS-BETA,60,3,14,12,1,10,8,1,2,1,1,2,3,1,120,normal,False
DEV-1704,SER-046,2026-03-05 02:19:30.337349,ORD-000129,26,FAB-B,AREA-3,SYS-ALPHA,2,6,15,17,3,6,11,2,7,3,1,2,3,1,62,normal,False
DEV-0772,EQP-050,2026-03-14 10:04:39.841668,ORD-000130,267,FAB-A,AREA-2,SYS-GAMMA,12,5,9,15,3,5,11,1,2,2,1,2,2,5,312,normal,False
DEV-0822,SER-046,2026-03-20 01:00:37.596948,ORD-000131,31,FAB-A,AREA-2,SYS-BETA,5,6,21,14,3,12,10,2,4,2,1,5,2,1,65,normal,False
DEV-1603,SER-006,2026-03-19 09:41:32.648479,ORD-000132,38,FAB-C,,SYS-GAMMA,4,4,11,9,1,4,3,2,5,3,1,2,3,1,64,normal,False
DEV-0727,EQP-027,2026-03-10 11:33:26.034208,ORD-000133,235,FAB-A,AREA-2,SYS-ALPHA,2,9,20,16,7,11,11,1,6,4,1,3,1,8,482,normal,False
DEV-1544,MDL-039,2026-03-12 17:32:43.780802,ORD-000134,199,FAB-A,AREA-3,SYS-ALPHA,1,5,17,16,2,6,10,1,6,2,2,5,4,4,241,normal,False
DEV-1038,EQP-023,2026-03-25 00:00:44.738339,ORD-000135,872,FAB-C,,SYS-ALPHA,4,6,16,15,4,11,8,1,2,4,1,3,3,21,1264,normal,False
DEV-1422,SER-046,2026-03-04 20:15:34.501960,ORD-000136,778,FAB-A,AREA-1,SYS-GAMMA,13,3,26,12,1,16,7,1,6,3,1,4,2,9,553,normal,False
DEV-1308,TYP-011,2026-03-13 04:52:47.077881,ORD-000137,19,FAB-C,AREA-2,SYS-ALPHA,26,5,17,16,3,8,11,1,5,2,1,4,3,1,86,normal,False
DEV-0020,MDL-016,2026-03-28 12:25:18.425441,ORD-000138,6,FAB-C,AREA-3,SYS-GAMMA,2,6,19,11,2,6,7,2,7,2,2,6,2,1,62,normal,False
DEV-0448,MDL-039,2026-03-09 14:59:32.615852,ORD-000139,1736,FAB-C,AREA-1,SYS-BETA,277,5,24,11,3,17,6,2,4,4,1,3,1,36,2810,user_burst,False
DEV-0281,EQP-010,2026-03-12 17:13:21.414820,ORD-000140,251,FAB-B,AREA-2,SYS-ALPHA,2,5,15,12,2,7,7,2,3,4,1,5,1,5,302,normal,False
DEV-0888,SER-006,2026-03-12 20:23:18.113583,ORD-000141,1066,FAB-C,AREA-1,SYS-ALPHA,6,6,13,13,2,6,6,3,4,4,1,3,3,26,1566,normal,False
DEV-0500,SER-019,2026-03-20 07:20:16.411632,ORD-000142,1781,FAB-A,AREA-1,SYS-ALPHA,25,3,25,10,1,16,6,1,6,2,1,3,2,22,1345,normal,False
DEV-1001,SER-015,2026-03-06 21:38:35.349506,ORD-000143,10,FAB-A,AREA-3,SYS-ALPHA,20,3,14,11,1,5,8,1,5,1,1,4,2,1,80,normal,False
DEV-0989,EQP-023,2026-03-07 15:06:07.814263,ORD-000144,806,FAB-A,AREA-2,SYS-BETA,34,4,20,13,1,12,8,2,6,4,1,2,1,13,814,normal,False
DEV-1170,EQP-027,2026-03-08 04:44:04.927760,ORD-000145,28,FAB-C,AREA-1,SYS-GAMMA,1,6,16,9,3,7,5,2,5,2,1,4,2,1,61,normal,False
