device_id,device_mode_name,order_created_at,order_id,file_count,loc_1,loc_2,system_name,queue_duration_seconds,per_file_duration_avg_seconds,per_file_duration_max_seconds,per_file_duration_p95_seconds,device_duration_avg_seconds,device_duration_max_seconds,device_duration_p95_seconds,db_duration_avg_seconds,db_duration_max_seconds,db_duration_p95_seconds,inner_processing_duration_avg_seconds,inner_processing_duration_max_seconds,inner_processing_duration_p95_seconds,total_file_duration_minutes,total_duration_seconds
DEV-0102,TYP-005,2026/03/24 06:36:11 PM,ORD-000013,863,FAB-C,AREA-2,SYS-GAMMA,1,7,14,17,4,7,10,2,3,5,1,4,2,25,1501
DEV-0000,TYP-048,2026/03/20 05:01:41 AM,ORD-000014,855,FAB-A,AREA-1,SYS-GAMMA,12,7,16,16,5,7,9,1,5,4,1,4,3,24,1452
DEV-0112,TYP-011,2026/03/17 09:02:14 PM,ORD-000015,1496,FAB-C,AREA-1,SYS-BETA,1,5,20,10,1,13,5,2,3,2,2,4,3,31,1861
DEV-0029,TYP-041,2026/03/30 08:22:28 PM,ORD-000016,80,FAB-A,,SYS-GAMMA,10,6,24,15,3,16,8,1,3,4,2,5,3,2,130
DEV-0130,EQP-027,2026/03/01 05:38:48 PM,ORD-000017,439,FAB-B,,SYS-GAMMA,3,4,22,15,2,16,9,1,2,3,1,4,3,7,423
DEV-0148,MDL-036,2026/03/17 02:04:58 PM,ORD-000018,4005,FAB-A,AREA-1,SYS-BETA,2,6,21,18,3,13,11,2,4,5,1,4,2,100,6002
DEV-0146,EQP-050,2026/03/25 06:09:14 AM,ORD-000019,269,FAB-B,AREA-2,SYS-ALPHA,33,8,23,17,5,12,13,2,6,2,1,5,2,8,513
DEV-0009,SER-047,2026/03/02 03:00:59 AM,ORD-000020,42,FAB-B,AREA-1,SYS-BETA,33,4,23,14,2,17,10,1,4,1,1,2,3,1,93
DEV-0067,TYP-042,2026/03/28 07:49:19 AM,ORD-000021,227,FAB-C,AREA-1,SYS-ALPHA,25,3,26,10,1,16,7,1,5,1,1,5,2,2,145
DEV-0158,TYP-014,2026/03/22 03:02:56 PM,ORD-000022,45,FAB-A,,SYS-BETA,3,3,23,6,1,14,3,1,4,2,1,5,1,1,63
DEV-0083,SER-017,2026/03/21 10:30:13 PM,ORD-000023,600,FAB-B,AREA-2,SYS-GAMMA,10,5,18,12,1,9,4,2,5,4,2,4,4,12,730
DEV-0156,SER-006,2026/03/15 01:05:13 AM,ORD-000024,1634,FAB-A,AREA-2,SYS-ALPHA,53,4,19,11,2,13,5,1,3,4,1,3,2,27,1673
DEV-0139,,2026/03/07 02:24:28 AM,ORD-000025,33,FAB-A,AREA-3,SYS-ALPHA,1,7,25,17,3,15,10,3,6,5,1,4,2,1,61
DEV-0060,EQP-028,2026/03/01 09:24:47 PM,ORD-000026,141,FAB-B,,SYS-GAMMA,4,4,23,13,1,14,6,1,6,3,2,3,4,2,124
DEV-0190,,2026/03/08 06:00:48 PM,ORD-000027,281,FAB-B,,SYS-ALPHA,4,5,21,14,1,12,7,2,5,3,2,4,4,5,304
DEV-0174,SER-017,2026/03/05 12:02:05 PM,ORD-000028,943,FAB-A,,SYS-ALPHA,15,9,17,19,6,12,14,2,3,2,1,2,3,35,2115
DEV-0138,SER-006,2026/03/10 05:28:19 AM,ORD-000029,1374,FAB-B,AREA-3,SYS-ALPHA,1,7,30,13,5,20,8,1,6,3,1,4,2,40,2401
DEV-0119,,2026/03/14 11:15:32 PM,ORD-000030,2576,FAB-C,AREA-3,SYS-ALPHA,1107,5,23,15,3,18,9,1,3,4,1,2,2,53,4287
DEV-0095,SER-019,2026/03/25 10:48:13 PM,ORD-000031,19,FAB-C,AREA-2,SYS-GAMMA,17,6,23,14,3,14,9,2,6,2,1,3,3,1,77
DEV-0104,TYP-009,2026/03/05 06:43:40 AM,ORD-000032,7,FAB-A,AREA-3,SYS-BETA,2,4,15,8,2,11,4,1,2,3,1,2,1,1,62
DEV-0107,EQP-050,2026/03/30 12:50:45 AM,ORD-000033,236,FAB-C,,SYS-GAMMA,25,8,26,15,5,17,7,1,3,4,2,6,4,7,445
DEV-0113,,2026/03/07 08:42:55 AM,ORD-000034,110,FAB-A,,SYS-ALPHA,4,7,25,13,4,16,10,2,5,2,1,4,1,3,184
DEV-0164,TYP-048,2026/03/18 07:01:16 AM,ORD-000035,321,FAB-C,AREA-2,SYS-BETA,19,6,14,11,3,8,6,1,2,3,2,4,2,8,499
DEV-0059,MDL-007,2026/03/06 03:10:52 PM,ORD-000036,87,FAB-A,,SYS-BETA,1,5,18,10,1,7,4,2,7,2,2,4,4,1,61
DEV-0060,EQP-028,2026/03/03 07:26:27 AM,ORD-000037,54,FAB-B,,SYS-GAMMA,15,7,15,14,4,6,7,2,4,4,1,5,3,1,75
DEV-0151,SER-029,2026/03/03 02:28:12 AM,ORD-000038,37,FAB-A,,SYS-BETA,4,4,23,11,1,14,6,2,4,2,1,5,3,1,64
DEV-0113,,2026/03/17 09:41:31 PM,ORD-000039,10,FAB-A,,SYS-ALPHA,16,4,13,10,1,4,4,2,5,3,1,4,3,1,76
DEV-0135,TYP-014,2026/03/08 04:36:06 AM,ORD-000040,37,FAB-B,AREA-3,SYS-BETA,6,3,13,9,1,4,3,1,6,4,1,3,2,1,66
DEV-0109,,2026/03/04 08:57:46 AM,ORD-000041,115,FAB-A,,SYS-ALPHA,33,7,23,16,4,16,12,2,5,3,1,2,1,3,213
DEV-0033,,2026/03/29 07:47:35 AM,ORD-000042,200,FAB-C,AREA-3,SYS-GAMMA,10,9,30,14,7,19,9,1,6,3,1,5,2,7,430
DEV-0079,MDL-008,2026/03/18 06:46:24 AM,ORD-000043,197,FAB-C,AREA-2,SYS-GAMMA,4,5,16,14,3,7,11,1,6,2,1,3,1,4,244
DEV-0057,,2026/03/29 12:09:37 AM,ORD-000044,874,FAB-C,,SYS-ALPHA,2,18,28,23,16,18,19,1,6,1,1,4,3,65,3902
DEV-0017,TYP-041,2026/03/06 05:41:22 AM,ORD-000045,45,FAB-A,AREA-2,SYS-ALPHA,49,4,22,9,2,15,6,1,2,1,1,5,2,1,109
DEV-0145,MDL-016,2026/03/14 12:16:46 AM,ORD-000046,276,FAB-A,AREA-1,SYS-ALPHA,7,6,12,9,4,8,5,1,2,2,1,2,2,6,367
DEV-0088,,2026/03/19 06:56:55 AM,ORD-000047,122,FAB-B,AREA-1,SYS-ALPHA,41,6,22,14,3,13,8,1,6,4,2,3,2,3,221
DEV-0054,,2026/03/05 04:45:04 AM,ORD-000048,561,FAB-A,AREA-3,SYS-ALPHA,1,4,14,9,1,4,2,2,5,4,1,5,3,9,541
DEV-0090,,2026/03/13 01:14:28 PM,ORD-000049,7,FAB-C,AREA-3,SYS-GAMMA,17,5,21,9,1,10,3,2,6,2,2,5,4,1,77
DEV-0103,MDL-003,2026/03/08 01:27:19 PM,ORD-000050,25,FAB-B,AREA-2,SYS-BETA,5,6,24,16,3,18,9,2,4,5,1,2,2,1,65
DEV-0086,TYP-040,2026/03/25 09:52:47 PM,ORD-000051,15,FAB-C,AREA-1,SYS-ALPHA,24,8,22,13,4,14,8,3,4,3,1,4,2,1,84
DEV-0037,EQP-049,2026/03/24 02:24:19 AM,ORD-000052,16,FAB-A,AREA-1,SYS-GAMMA,23,6,27,11,4,18,6,1,6,2,1,3,3,1,83
DEV-0162,SER-025,2026/03/25 03:35:47 AM,ORD-000053,3323,FAB-B,AREA-1,SYS-BETA,12,4,20,8,2,11,4,1,4,2,1,5,2,55,3312
DEV-0018,SER-030,2026/03/26 10:42:52 PM,ORD-000054,165,FAB-B,AREA-3,SYS-GAMMA,11,4,13,11,1,8,6,2,3,2,1,2,3,2,131
DEV-0189,SER-033,2026/03/25 03:36:11 PM,ORD-000055,1460,FAB-C,AREA-3,SYS-ALPHA,2,20,38,29,17,28,25,2,7,3,1,3,1,121,7262
DEV-0021,,2026/03/06 02:26:11 AM,ORD-000056,94,FAB-B,,SYS-BETA,3,5,23,16,3,16,11,1,2,2,1,5,3,1,63
DEV-0153,MDL-032,2026/03/27 02:26:22 AM,ORD-000057,45,FAB-C,AREA-2,SYS-BETA,11,7,21,10,5,12,7,1,4,1,1,5,2,1,71
DEV-0038,TYP-020,2026/03/03 05:58:21 PM,ORD-000058,199,FAB-C,AREA-2,SYS-ALPHA,55,5,15,16,3,9,10,1,3,3,1,3,3,4,295
DEV-0179,TYP-009,2026/03/29 09:07:03 PM,ORD-000059,839,FAB-B,AREA-1,SYS-GAMMA,8,5,17,15,1,11,7,2,3,5,2,3,3,17,1028
DEV-0049,,2026/03/24 12:33:40 PM,ORD-000060,13,FAB-C,,SYS-ALPHA,2,5,14,9,2,8,4,1,3,1,2,3,4,1,62
DEV-0197,,2026/03/24 03:21:43 AM,ORD-000061,469,FAB-B,AREA-2,SYS-BETA,16,7,21,14,3,11,9,2,6,2,2,4,3,13,796
DEV-0061,TYP-004,2026/03/16 10:13:40 AM,ORD-000062,257,FAB-C,AREA-1,SYS-ALPHA,14,5,20,15,2,9,10,1,5,2,2,6,3,5,314
DEV-0064,SER-029,2026/03/09 04:28:51 PM,ORD-000063,35,FAB-A,,SYS-ALPHA,1,5,24,7,2,15,4,1,4,1,2,5,2,1,61
DEV-0111,,2026/03/08 03:40:45 PM,ORD-000064,19,FAB-C,AREA-2,SYS-BETA,1,3,10,13,1,3,8,1,5,3,1,2,2,1,61
DEV-0182,TYP-020,2026/03/19 09:49:24 PM,ORD-000065,449,FAB-A,AREA-1,SYS-BETA,7,8,18,18,5,11,13,1,3,1,2,4,4,14,847
DEV-0055,SER-033,2026/03/08 10:09:52 AM,ORD-000066,861,FAB-A,AREA-3,SYS-GAMMA,1,5,15,14,1,4,6,2,7,5,2,4,3,17,1021
DEV-0127,EQP-028,2026/03/18 08:47:45 AM,ORD-000067,54,FAB-A,AREA-3,SYS-GAMMA,16,5,26,10,2,15,5,62,250,3,1,4,2,1,319
DEV-0134,MDL-036,2026/03/12 02:47:09 PM,ORD-000068,2277,FAB-A,AREA-3,SYS-BETA,13,7,21,17,3,11,11,2,7,2,2,3,4,66,3973
DEV-0168,,2026/03/24 03:41:58 PM,ORD-000069,895,FAB-A,AREA-1,SYS-BETA,9,6,14,15,4,6,10,1,4,2,1,4,3,22,1329
DEV-0161,,2026/03/27 10:48:01 PM,ORD-000070,13,FAB-C,AREA-1,SYS-GAMMA,7,5,10,13,2,4,7,2,3,5,1,3,1,1,67
DEV-0121,SER-017,2026/03/12 03:02:00 PM,ORD-000071,46,FAB-A,AREA-1,SYS-GAMMA,27,4,16,8,2,9,3,1,3,3,1,4,2,1,87
DEV-0098,TYP-041,2026/03/14 10:51:17 AM,ORD-000072,97,FAB-B,AREA-3,SYS-ALPHA,17,6,18,16,3,10,8,2,6,5,1,2,3,2,137
DEV-0083,SER-017,2026/03/28 06:54:05 PM,ORD-000073,613,FAB-B,AREA-2,SYS-GAMMA,286,6,17,18,4,7,11,2,6,5,1,4,2,15,1175
DEV-0163,TYP-020,2026/03/21 04:32:51 PM,ORD-000074,2234,FAB-B,,SYS-GAMMA,24,18,30,24,15,25,18,1,2,4,2,3,2,167,10044
DEV-0092,,2026/03/03 06:17:18 PM,ORD-000075,195,FAB-C,AREA-3,SYS-GAMMA,6,7,23,17,5,17,13,1,2,2,1,4,2,5,306
DEV-0080,MDL-039,2026/03/18 06:38:15 AM,ORD-000076,555,FAB-A,AREA-1,SYS-BETA,21,6,24,11,3,16,6,2,3,2,1,5,3,13,801
DEV-0073,TYP-013,2026/03/14 09:40:36 PM,ORD-000077,802,FAB-B,AREA-2,SYS-ALPHA,7,4,14,6,2,6,4,1,3,1,1,5,1,13,787
DEV-0081,EQP-043,2026/03/05 02:50:05 AM,ORD-000078,366,FAB-C,AREA-3,SYS-BETA,44,6,19,12,3,9,6,2,7,4,1,3,2,9,584
DEV-0141,MDL-003,2026/03/23 12:45:43 AM,ORD-000079,169,FAB-A,,SYS-GAMMA,5,8,25,12,4,15,6,3,8,4,1,2,2,5,305
DEV-0104,TYP-009,2026/03/11 11:42:29 PM,ORD-000080,375,FAB-A,AREA-3,SYS-BETA,20,6,24,11,3,15,5,2,4,4,1,5,2,9,560
DEV-0033,,2026/03/29 06:25:15 AM,ORD-000081,283,FAB-C,AREA-3,SYS-GAMMA,1,4,18,7,1,11,4,1,2,1,2,5,2,4,241
DEV-0132,EQP-027,2026/03/17 08:37:03 AM,ORD-000082,1866,FAB-C,,SYS-GAMMA,32,4,12,13,2,7,7,1,2,3,1,3,3,31,1892
DEV-0168,,2026/03/24 01:21:53 PM,ORD-000083,919,FAB-A,AREA-1,SYS-BETA,14,4,23,5,2,17,3,1,4,1,1,2,1,15,914
DEV-0146,EQP-050,2026/03/25 12:19:43 PM,ORD-000084,213,FAB-B,AREA-2,SYS-ALPHA,25,5,21,14,3,15,8,1,2,4,1,4,2,4,265
DEV-0106,SER-044,2026/03/12 03:48:09 PM,ORD-000085,102,FAB-A,AREA-1,SYS-BETA,25,5,18,13,2,9,8,1,4,2,2,5,3,2,145
DEV-0119,,2026/03/14 08:16:38 AM,ORD-000086,33,FAB-C,AREA-3,SYS-ALPHA,1,8,16,11,5,8,6,2,4,3,1,4,2,1,61
DEV-0184,SER-046,2026/03/04 01:13:55 AM,ORD-000087,245,FAB-A,AREA-1,SYS-GAMMA,1,4,20,16,2,12,10,1,3,4,1,5,2,4,241
DEV-0061,TYP-004,2026/03/26 01:11:40 PM,ORD-000088,27,FAB-C,AREA-1,SYS-ALPHA,9,4,15,13,1,7,9,2,3,2,1,5,2,1,69
DEV-0093,MDL-007,2026/03/24 12:08:51 PM,ORD-000089,8,FAB-A,AREA-3,SYS-ALPHA,49,4,17,11,1,8,6,2,7,3,1,2,2,1,109
DEV-0174,SER-017,2026/03/16 03:29:34 PM,ORD-000090,431,FAB-A,,SYS-ALPHA,30,6,17,15,3,10,9,2,3,5,1,4,1,10,630
DEV-0121,SER-017,2026/03/23 02:36:51 PM,ORD-000091,88,FAB-A,AREA-1,SYS-GAMMA,52,8,22,16,6,13,12,1,6,2,1,3,2,2,172
DEV-0130,EQP-027,2026/03/30 02:05:16 PM,ORD-000092,231,FAB-B,,SYS-GAMMA,17,5,22,9,1,10,2,3,8,5,1,4,2,4,257
DEV-0006,SER-018,2026/03/19 09:28:07 PM,ORD-000093,117,FAB-A,AREA-2,SYS-BETA,1,10,28,21,7,18,15,2,7,3,1,3,3,4,241
DEV-0174,SER-017,2026/03/21 10:15:12 PM,ORD-000094,41,FAB-A,,SYS-ALPHA,14,4,10,14,2,4,10,1,2,2,1,4,2,1,74
DEV-0188,EQP-028,2026/03/30 06:58:12 AM,ORD-000095,441,FAB-C,AREA-3,SYS-ALPHA,13,3,22,12,1,11,7,1,6,2,1,5,3,5,313
DEV-0139,,2026/03/29 11:24:47 PM,ORD-000096,247,FAB-A,AREA-3,SYS-ALPHA,25,5,16,14,3,8,7,1,4,4,1,4,3,5,325
DEV-0125,MDL-003,2026/03/30 01:21:49 AM,ORD-000097,139,FAB-C,,SYS-ALPHA,40,5,20,10,2,8,4,2,7,4,1,5,2,2,160
DEV-0073,TYP-013,2026/03/17 07:33:33 PM,ORD-000098,1080,FAB-B,AREA-2,SYS-ALPHA,24,7,26,15,5,17,10,1,4,4,1,5,1,31,1884
DEV-0150,TYP-040,2026/03/22 08:05:20 PM,ORD-000099,8,FAB-C,,SYS-GAMMA,8,5,23,10,2,14,6,2,7,3,1,2,1,1,68
DEV-0001,EQP-028,2026/03/03 05:31:26 AM,ORD-000100,2646,FAB-A,AREA-1,SYS-ALPHA,30,6,22,14,3,12,7,2,6,5,1,4,2,66,3990
DEV-0009,SER-047,2026/03/30 01:54:04 AM,ORD-000101,1179,FAB-B,AREA-1,SYS-BETA,8,4,14,12,1,3,8,2,6,3,1,5,1,19,1148
DEV-0002,TYP-014,2026/03/15 11:49:57 AM,ORD-000102,43,FAB-A,AREA-1,SYS-GAMMA,16,6,17,16,4,10,12,1,2,3,1,5,1,1,76
DEV-0065,SER-018,2026/03/28 10:32:13 AM,ORD-000103,314,FAB-B,AREA-2,SYS-ALPHA,11,6,22,14,3,14,7,1,4,3,2,4,4,7,431
DEV-0022,TYP-005,2026/03/08 12:07:24 PM,ORD-000104,74,FAB-A,AREA-3,SYS-ALPHA,28,9,22,16,5,14,11,3,5,4,1,3,1,2,148
DEV-0002,TYP-014,2026/03/21 02:59:10 PM,ORD-000105,28,FAB-A,AREA-1,SYS-GAMMA,2,8,26,11,5,17,7,2,4,2,1,5,2,1,62
DEV-0197,,2026/03/15 06:09:40 AM,ORD-000106,80,FAB-B,AREA-2,SYS-BETA,3,4,20,10,1,12,5,2,5,4,1,3,1,1,63
DEV-0193,EQP-034,2026/03/03 06:31:40 PM,ORD-000107,220,FAB-C,AREA-3,SYS-GAMMA,35,5,23,10,3,15,5,1,3,2,1,5,3,4,275
DEV-0140,,2026/03/22 02:05:06 PM,ORD-000108,1207,FAB-A,AREA-2,SYS-ALPHA,22,4,17,11,1,5,7,2,7,3,1,5,1,20,1222
DEV-0033,,2026/03/25 11:12:08 PM,ORD-000109,166,FAB-C,AREA-3,SYS-GAMMA,134,4,22,14,3,12,10,1,6,1,1,4,3,2,167
DEV-0011,TYP-040,2026/03/24 01:24:43 PM,ORD-000110,229,FAB-B,AREA-2,SYS-GAMMA,5,6,11,15,4,7,12,1,2,1,1,2,2,5,305
DEV-0097,MDL-032,2026/03/17 02:20:53 AM,ORD-000111,284,FAB-B,AREA-1,SYS-ALPHA,3,6,16,12,4,7,7,1,5,4,1,4,1,7,423
DEV-0057,,2026/03/06 05:31:47 AM,ORD-000112,323,FAB-C,,SYS-ALPHA,9,22,37,32,20,30,27,1,4,4,1,3,1,29,1749
DEV-0169,MDL-038,2026/03/21 10:17:30 PM,ORD-000113,246,FAB-C,AREA-1,SYS-ALPHA,215,3,10,8,1,6,3,1,2,2,1,2,3,3,236
DEV-0011,TYP-040,2026/03/08 03:43:14 PM,ORD-000114,109,FAB-B,AREA-2,SYS-GAMMA,6,6,27,10,3,17,4,2,7,3,1,3,3,2,126
DEV-0082,TYP-014,2026/03/19 02:06:37 AM,ORD-000115,14,FAB-C,AREA-3,SYS-ALPHA,31,7,23,13,4,12,9,2,7,3,1,4,1,1,91
DEV-0173,MDL-022,2026/03/05 05:08:28 PM,ORD-000116,176,FAB-B,AREA-3,SYS-BETA,20,4,20,15,2,14,9,1,2,3,1,4,3,2,140
DEV-0076,MDL-031,2026/03/13 06:37:06 AM,ORD-000117,1147,FAB-C,AREA-2,SYS-ALPHA,14,4,22,13,2,12,9,1,5,1,1,5,3,19,1154
DEV-0020,EQP-021,2026/03/19 03:53:59 PM,ORD-000118,1867,FAB-A,AREA-2,SYS-ALPHA,20,8,22,13,3,13,7,2,5,2,3,4,4,62,3740
DEV-0171,TYP-012,2026/03/04 11:51:27 PM,ORD-000119,172,FAB-A,AREA-3,SYS-BETA,1,8,18,11,5,11,6,2,4,4,1,3,1,5,301
DEV-0062,EQP-026,2026/03/12 04:49:03 AM,ORD-000120,509,FAB-C,AREA-3,SYS-ALPHA,4,14,36,21,12,26,17,1,5,2,1,5,2,29,1744
DEV-0184,SER-046,2026/03/08 06:15:07 AM,ORD-000121,264,FAB-A,AREA-1,SYS-GAMMA,1,5,19,12,3,10,9,1,4,2,1,5,1,5,301
DEV-0149,TYP-009,2026/03/08 10:10:08 AM,ORD-000122,156,FAB-B,AREA-3,SYS-BETA,17,7,17,15,5,10,11,1,4,2,1,3,2,4,257
DEV-0125,MDL-003,2026/03/15 11:30:50 PM,ORD-000123,4628,FAB-C,,SYS-ALPHA,13,5,15,14,2,6,8,1,5,4,2,4,2,96,5773
DEV-0164,TYP-048,2026/03/20 10:24:53 AM,ORD-000124,1536,FAB-C,AREA-2,SYS-BETA,2,3,20,5,1,16,2,1,2,1,1,2,2,19,1142
DEV-0015,SER-024,2026/03/13 07:08:26 PM,ORD-000125,982,FAB-B,AREA-2,SYS-GAMMA,6,6,24,17,3,15,11,2,7,5,1,2,1,24,1446
DEV-0137,MDL-031,2026/03/08 01:38:17 PM,ORD-000126,2070,FAB-C,AREA-2,SYS-GAMMA,4,4,24,10,2,16,5,1,6,4,1,2,1,34,2044
DEV-0020,EQP-021,2026/03/03 06:57:40 PM,ORD-000127,153,FAB-A,AREA-2,SYS-ALPHA,2,3,23,10,1,14,5,1,5,2,1,4,3,1,62
DEV-0008,EQP-023,2026/03/14 12:22:54 PM,ORD-000128,29,FAB-B,AREA-3,SYS-ALPHA,60,3,11,7,1,3,2,1,5,4,1,3,1,1,120
DEV-0135,TYP-014,2026/03/28 05:01:16 AM,ORD-000129,1235,FAB-B,AREA-3,SYS-BETA,2,6,15,12,3,9,4,2,4,5,1,2,3,30,1802
DEV-0080,MDL-039,2026/03/08 06:03:22 PM,ORD-000130,18,FAB-A,AREA-1,SYS-BETA,12,5,25,14,3,17,10,1,6,2,1,2,2,1,72
DEV-0193,EQP-034,2026/03/11 12:35:19 PM,ORD-000131,380,FAB-C,AREA-3,SYS-GAMMA,5,6,17,10,3,5,5,2,7,4,1,5,1,9,545
DEV-0101,SER-046,2026/03/29 10:47:38 AM,ORD-000132,3336,FAB-B,AREA-1,SYS-ALPHA,4,4,23,14,1,15,9,2,3,4,1,5,1,55,3304
DEV-0158,TYP-014,2026/03/06 03:58:52 AM,ORD-000133,20,FAB-A,,SYS-BETA,2,9,20,14,7,13,10,1,2,1,1,5,3,1,62
DEV-0023,TYP-042,2026/03/14 03:55:10 AM,ORD-000134,24,FAB-B,,SYS-GAMMA,1,5,24,12,2,16,7,1,5,3,2,3,2,1,61
DEV-0141,MDL-003,2026/03/23 02:47:00 AM,ORD-000135,43,FAB-A,,SYS-GAMMA,4,6,15,15,4,6,9,1,4,4,1,5,2,1,64
DEV-0062,EQP-026,2026/03/06 10:37:46 AM,ORD-000136,93,FAB-C,AREA-3,SYS-ALPHA,13,12,25,19,10,16,15,1,5,2,1,4,2,4,253
DEV-0063,MDL-016,2026/03/26 07:41:16 PM,ORD-000137,807,FAB-A,AREA-2,SYS-GAMMA,26,5,21,9,3,12,5,73,296,2,1,3,2,16,1276
DEV-0112,TYP-011,2026/03/30 12:27:12 PM,ORD-000138,258,FAB-C,AREA-1,SYS-BETA,2,6,19,14,2,8,8,2,7,3,2,4,3,6,362
DEV-0147,,2026/03/07 10:12:28 AM,ORD-000139,633,FAB-C,,SYS-ALPHA,2,5,27,14,2,17,9,2,6,4,1,4,1,13,782
DEV-0196,,2026/03/05 01:22:30 PM,ORD-000140,293,FAB-A,AREA-1,SYS-BETA,2,5,19,12,2,11,7,2,6,3,1,2,2,6,362
DEV-0096,MDL-022,2026/03/25 10:20:56 PM,ORD-000141,43,FAB-A,AREA-3,SYS-GAMMA,6,6,21,17,2,12,9,3,7,6,1,2,2,1,66
DEV-0027,SER-015,2026/03/14 11:32:08 AM,ORD-000142,973,FAB-A,,SYS-ALPHA,25,3,22,6,1,13,2,1,4,2,1,5,2,12,745
DEV-0148,MDL-036,2026/03/15 10:06:39 PM,ORD-000143,526,FAB-A,AREA-1,SYS-BETA,20,3,17,14,1,9,9,1,5,3,1,3,2,6,380
DEV-0021,,2026/03/15 11:26:31 AM,ORD-000144,14,FAB-B,,SYS-BETA,34,4,16,16,1,8,9,2,5,4,1,3,3,1,94
DEV-0181,TYP-011,2026/03/18 08:23:39 AM,ORD-000145,26,FAB-C,AREA-1,SYS-ALPHA,1,6,22,13,3,16,7,2,3,3,1,3,3,1,61
DEV-0103,MDL-003,2026/03/01 02:37:47 PM,ORD-000146,490,FAB-B,AREA-2,SYS-BETA,6,5,15,14,2,4,6,2,6,5,1,5,3,10,606
DEV-0147,,2026/03/27 10:47:19 AM,ORD-000147,39,FAB-C,,SYS-ALPHA,33,6,19,12,2,9,6,3,5,5,1,5,1,1,93
DEV-0152,SER-017,2026/03/21 06:23:14 PM,ORD-000148,150,FAB-A,AREA-3,SYS-GAMMA,5,4,20,12,1,8,7,2,7,2,1,5,3,2,125
DEV-0080,MDL-039,2026/03/18 07:46:47 AM,ORD-000149,24,FAB-A,AREA-1,SYS-BETA,21,4,16,9,2,9,5,1,2,2,1,5,2,1,81
DEV-0137,MDL-031,2026/03/15 02:17:35 AM,ORD-000150,960,FAB-C,AREA-2,SYS-GAMMA,25,3,16,9,1,10,6,1,3,2,1,3,1,12,745
DEV-0098,TYP-041,2026/03/16 03:11:37 AM,ORD-000151,4070,FAB-B,AREA-3,SYS-ALPHA,3,7,27,20,4,16,12,2,6,5,1,5,3,118,7083
DEV-0194,,2026/03/24 10:01:48 AM,ORD-000152,7,FAB-C,,SYS-BETA,15,8,23,15,5,15,10,2,5,3,1,3,2,1,75
DEV-0139,,2026/03/26 08:32:53 AM,ORD-000153,675,FAB-A,AREA-3,SYS-ALPHA,3,5,26,14,3,17,11,1,6,1,1,3,2,14,843
DEV-0008,EQP-023,2026/03/18 10:13:02 PM,ORD-000154,139,FAB-B,AREA-3,SYS-ALPHA,7,5,23,10,2,17,4,2,3,5,1,3,1,2,127
